id,condition,p_ratio,trans_rien,v_ratio,a_hinge,b_hinge,c_hinge,io,ls,cp
1,1,0.1,C,1.2,0.015,0.03,0.2,0,0.02,0.03
2,1,0.1,C,1.5,0.015,0.03,0.2,0,0.015,0.02
3,1,0.4,C,1.2,0.015,0.025,0.2,0,0.015,0.025
4,1,0.4,C,1.5,0.015,0.2,0.2,0,0.015,0.02
5,1,0.1,NC,1.2,0.005,0.2,0.2,0,0.015,0.02
6,1,0.1,NC,1.5,0.005,0.015,0.2,0,0.01,0.015
7,1,0.4,NC,1.2,0.005,0.015,0.2,0,0.01,0.015
8,1,0.4,NC,1.5,0.005,0.015,0.2,0,0.01,0.015
9,2,0.1,C,1.2,0.01,0.02,0.2,0,0.015,0.02
10,2,0.1,C,1.5,0.01,0.015,0.2,0,0.01,0.015
11,2,0.4,C,1.2,0.01,0.02,0.2,0,0.015,0.02
12,2,0.4,C,1.5,0.01,0.015,0.2,0,0.01,0.015
13,2,0.1,NC,1.2,0.005,0.01,0.2,0,0.0075,0.01
14,2,0.1,NC,1.5,0.005,0.01,0.2,0,0.0075,0.01
15,2,0.4,NC,1.2,0,0.0075,0,0,0.005,0.0075
16,2,0.4,NC,1.5,0,0.0075,0,0,0.005,0.0075
