id,condition,comp_type,p_ratio,row,v_ratio,m_io,m_ls,m_cp
1,1,primary,0.1,0.0175,0.2,1.7,3.4,4.2
2,1,primary,0.7,0.0175,0.2,1.2,1.4,1.7
3,1,primary,0.1,0.0005,0.2,1.5,2.6,3.2
4,1,primary,0.7,0.0005,0.2,1,1,1
5,1,primary,0.1,0.0175,0.6,1.5,2.7,3.3
6,1,primary,0.7,0.0175,0.6,1,1,1
7,1,primary,0.1,0.0005,0.6,1.3,1.9,2.3
8,1,primary,0.7,0.0005,0.6,1,1,1
9,1,primary,0.1,0.0175,1,1.3,1.8,2.2
10,1,primary,0.7,0.0175,1,1,1,1
11,1,primary,0.1,0.0005,1,1.1,1,1.1
12,1,primary,0.7,0.0005,1,1,1,1
13,1,secondary,0.1,0.0175,0.2,1.7,6.8,8.9
14,1,secondary,0.7,0.0175,0.2,1.2,1.4,1.7
15,1,secondary,0.1,0.0005,0.2,1.5,2.6,3.2
16,1,secondary,0.7,0.0005,0.2,1,1,1
17,1,secondary,0.1,0.0175,0.6,1.5,6.8,8.9
18,1,secondary,0.7,0.0175,0.6,1,1,1
19,1,secondary,0.1,0.0005,0.6,1.3,1.9,2.3
20,1,secondary,0.7,0.0005,0.6,1,1,1
21,1,secondary,0.1,0.0175,1,1.3,6.8,8.9
22,1,secondary,0.7,0.0175,1,1,1,1
23,1,secondary,0.1,0.0005,1,1.1,1.7,2.1
24,1,secondary,0.7,0.0005,1,1,1,1
25,2,primary,0.1,0.0075,0,1,1.7,2
26,2,primary,0.7,0.0075,0,1,1,1
27,2,primary,0.1,0.0005,0,1,1,1
28,2,primary,0.7,0.0005,0,1,1,1
29,2,secondary,0.1,0.0075,0,1,5.3,6.8
30,2,secondary,0.7,0.0075,0,1,2.8,3.5
31,2,secondary,0.1,0.0005,0,1,1.4,1.6
32,2,secondary,0.7,0.0005,0,1,1,1
