period,mu_t_1p0,mu_t_1p1,mu_t_1p5,mu_t_2p0,mu_t_3p0,mu_t_4p0,mu_t_6p0,mu_t_8p0
0.5,1,1.05,1.1,1.13,1.18,1.22,1.28,1.33
0.6,1,1.05,1.11,1.14,1.2,1.24,1.3,1.36
0.7,1,1.06,1.11,1.15,1.21,1.25,1.32,1.38
0.8,1,1.06,1.12,1.16,1.22,1.27,1.35,1.41
0.9,1,1.06,1.13,1.17,1.24,1.29,1.37,1.44
1,1,1.07,1.13,1.18,1.25,1.31,1.39,1.46
1.1,1,1.07,1.14,1.19,1.27,1.32,1.41,1.49
1.2,1,1.07,1.15,1.2,1.28,1.34,1.44,1.52
1.3,1,1.08,1.16,1.21,1.29,1.36,1.46,1.55
1.4,1,1.08,1.16,1.22,1.31,1.38,1.49,1.58
1.5,1,1.08,1.17,1.23,1.32,1.4,1.51,1.61
