id,element_type,hinge_side,building_name,member_id,gather_test_data,run_p58,joint_id,system_type,story,description,earthquake_name,units
10,beam,1,ICSB,b-1FG1-east,0,1,j-1F1,1,1,East-side exterior first story beam,1979 Imperial Valley,1
10,beam,2,ICSB,b-1FG1-west,0,1,j-1G1,1,1,East-side exterior first story beam,1979 Imperial Valley,1
21,beam,1,ICSB,b-1FG2-east,0,1,j-1F2,1,1,East-side interior first story beam,1979 Imperial Valley,1
21,beam,2,ICSB,b-1FG2-west,0,1,j-1G2,1,1,East-side interior first story beam,1979 Imperial Valley,1
8,beam,2,ICSB,b-1EF1-west,0,1,j-1F1,1,1,Exterior frame first story beam,1979 Imperial Valley,1
19,beam,2,ICSB,b-1EF2-west,0,1,j-1F2,1,1,Interior frame first story beam,1979 Imperial Valley,1
11,column,1,ICSB,c-1G1-base,1,1,grd,1,1,East-side exterior first story column,1979 Imperial Valley,1
11,column,2,ICSB,c-1G1-top,1,1,j-1G1,1,1,East-side exterior first story column,1979 Imperial Valley,1
22,column,1,ICSB,c-1G2-base,1,1,grd,1,1,East-side interior first story column,1979 Imperial Valley,1
22,column,2,ICSB,c-1G2-top,1,1,j-1G2,1,1,East-side interior first story column,1979 Imperial Valley,1
9,column,1,ICSB,c-1F1-base,1,1,grd,1,1,Exterior frame first story column,1979 Imperial Valley,1
9,column,2,ICSB,c-1F1-top,1,1,j-1F1,1,1,Exterior frame first story column,1979 Imperial Valley,1
20,column,1,ICSB,c-1F2-base,1,1,grd,1,1,Interior frame first story column,1979 Imperial Valley,1
20,column,2,ICSB,c-1F2-top,1,1,j-1F2,1,1,Interior frame first story column,1979 Imperial Valley,1
59,column,1,ICSB,c-2G1-base,0,1,j-1G1,1,2,East-side exterior second story column,1979 Imperial Valley,1
70,column,1,ICSB,c-2G2-base,0,1,j-1G2,1,2,East-side interior second story column,1979 Imperial Valley,1
57,column,1,ICSB,c-2F1-base,0,1,j-1F1,1,2,Exterior frame second story column,1979 Imperial Valley,1
68,column,1,ICSB,c-2F2-base,0,1,j-1F2,1,2,Interior frame second story column,1979 Imperial Valley,1
6,joint,NaN,ICSB,j-1G1,0,1,NA,1,1,East-side exterior first story joint,1979 Imperial Valley,1
12,joint,NaN,ICSB,j-1G2,0,1,NA,1,1,East-side interior first story joint,1979 Imperial Valley,1
5,joint,NaN,ICSB,j-1F1,0,1,NA,1,1,Exterior frame first story joint,1979 Imperial Valley,1
11,joint,NaN,ICSB,j-1F2,0,1,NA,1,1,Interior frame first story joint,1979 Imperial Valley,1
