id,element_type,hinge_side,building_name,member_id,gather_test_data,run_p58,joint_id,system_type,story,description,earthquake_name,units
0,joint,NaN,ICSB,grd-B1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-C1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd_D1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-E1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-F1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-G1,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-B2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-C2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd_D2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-E2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-F2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-G2,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-B3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-C3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd_D3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-E3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-F3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-G3,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-B4,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-C4,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd_D4,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-E4,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-F4,0,0,NA,1,0,NA,1979 Imperial Valley,1
0,joint,NaN,ICSB,grd-G4,0,0,NA,1,0,NA,1979 Imperial Valley,1
1,column,1,ICSB,c-1B1-base,1,1,grd-B1,1,1,NA,1979 Imperial Valley,1
3,column,1,ICSB,c-1C1-base,1,1,grd-C1,1,1,NA,1979 Imperial Valley,1
5,column,1,ICSB,c-1D1-base,1,1,grd_D1,1,1,NA,1979 Imperial Valley,1
7,column,1,ICSB,c-1E1-base,1,1,grd-E1,1,1,NA,1979 Imperial Valley,1
9,column,1,ICSB,c-1F1-base,1,1,grd-F1,1,1,NA,1979 Imperial Valley,1
11,column,1,ICSB,c-1G1-base,1,1,grd-G1,1,1,NA,1979 Imperial Valley,1
12,column,1,ICSB,c-1B2-base,1,1,grd-B2,1,1,NA,1979 Imperial Valley,1
14,column,1,ICSB,c-1C2-base,1,1,grd-C2,1,1,NA,1979 Imperial Valley,1
16,column,1,ICSB,c-1D2-base,1,1,grd_D2,1,1,NA,1979 Imperial Valley,1
18,column,1,ICSB,c-1E2-base,1,1,grd-E2,1,1,NA,1979 Imperial Valley,1
20,column,1,ICSB,c-1F2-base,1,1,grd-F2,1,1,NA,1979 Imperial Valley,1
22,column,1,ICSB,c-1G2-base,1,1,grd-G2,1,1,NA,1979 Imperial Valley,1
23,column,1,ICSB,c-1B3-base,1,1,grd-B3,1,1,NA,1979 Imperial Valley,1
25,column,1,ICSB,c-1C3-base,1,1,grd-C3,1,1,NA,1979 Imperial Valley,1
27,column,1,ICSB,c-1D3-base,1,1,grd_D3,1,1,NA,1979 Imperial Valley,1
29,column,1,ICSB,c-1E3-base,1,1,grd-E3,1,1,NA,1979 Imperial Valley,1
31,column,1,ICSB,c-1F3-base,1,1,grd-F3,1,1,NA,1979 Imperial Valley,1
33,column,1,ICSB,c-1G3-base,1,1,grd-G3,1,1,NA,1979 Imperial Valley,1
34,column,1,ICSB,c-1B4-base,1,1,grd-B4,1,1,NA,1979 Imperial Valley,1
36,column,1,ICSB,c-1C4-base,1,1,grd-C4,1,1,NA,1979 Imperial Valley,1
38,column,1,ICSB,c-1D4-base,1,1,grd_D4,1,1,NA,1979 Imperial Valley,1
40,column,1,ICSB,c-1E4-base,1,1,grd-E4,1,1,NA,1979 Imperial Valley,1
42,column,1,ICSB,c-1F4-base,1,1,grd-F4,1,1,NA,1979 Imperial Valley,1
44,column,1,ICSB,c-1G4-base,1,1,grd-G4,1,1,NA,1979 Imperial Valley,1
1,column,2,ICSB,c-1B1-top,1,1,j-1B1,1,1,NA,1979 Imperial Valley,1
3,column,2,ICSB,c-1C1-top,1,1,j-1C1,1,1,NA,1979 Imperial Valley,1
5,column,2,ICSB,c-1D1-top,1,1,j-1D1,1,1,NA,1979 Imperial Valley,1
7,column,2,ICSB,c-1E1-top,1,1,j-1E1,1,1,NA,1979 Imperial Valley,1
9,column,2,ICSB,c-1F1-top,1,1,j-1F1,1,1,NA,1979 Imperial Valley,1
11,column,2,ICSB,c-1G1-top,1,1,j-1G1,1,1,NA,1979 Imperial Valley,1
12,column,2,ICSB,c-1B2-top,1,1,j-1B2,1,1,NA,1979 Imperial Valley,1
14,column,2,ICSB,c-1C2-top,1,1,j-1C2,1,1,NA,1979 Imperial Valley,1
16,column,2,ICSB,c-1D2-top,1,1,j-1D2,1,1,NA,1979 Imperial Valley,1
