id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,0.453618977564137,0.453769230237111,0.453849284743001,0.453915211444002
2,0.02,0.462223874256581,0.460921959823374,0.460172392829926,0.459099202239344
3,0.03,0.455863253750459,0.456272252316118,0.456815290577007,0.457151302518939
4,0.04,0.475269784241774,0.479976036695398,0.480672225362653,0.477894851659386
5,0.05,0.550038188922299,0.5094559017281,0.481995464033399,0.475436461401351
6,0.06,0.514727863789212,0.504940987650687,0.513500658326057,0.511142233814713
7,0.07,0.599255661414955,0.51769040299301,0.488164709190716,0.487391866085215
8,0.08,0.603090360895451,0.521291572570345,0.510079382353151,0.515341217504399
9,0.09,0.828757816186924,0.678256235085161,0.615044231483799,0.546823138789843
10,0.1,0.703818166419263,0.595771398132,0.563600331215281,0.523510955689744
11,0.11,0.842160241591238,0.74832288828051,0.665056723244639,0.556820943052993
12,0.12,0.751849633816114,0.629089022315726,0.557070432256964,0.492656922880879
13,0.13,1.14801025666876,0.882338444715245,0.746448356496303,0.605874508689731
14,0.14,0.737248004698807,0.663171271188035,0.601682228036106,0.524859361721674
15,0.15,0.748297708101581,0.672298881975773,0.605531329502586,0.534399713447887
16,0.16,0.769256620739239,0.690373720681622,0.639224950855383,0.566386292077026
17,0.17,0.926106311833256,0.817583011235583,0.717526040236213,0.60402858839089
18,0.18,1.02590221554797,0.868942351170021,0.761830130641635,0.642051722508918
19,0.19,1.05641265413971,0.874504827898273,0.757704530718366,0.621350800752487
20,0.2,1.05232301131559,0.863956506887755,0.743624539360446,0.650137796465877
21,0.21,1.12605556135451,1.00757962232411,0.931358491175632,0.815468373648091
22,0.22,1.68581148834418,1.44460346664499,1.26056011327312,1.00995390091211
23,0.23,1.90247815270743,1.56726259855284,1.33283325872552,1.04365157491399
24,0.24,1.18818291389247,1.13607533679877,1.06660078811041,0.936215608147919
25,0.25,1.30266462718179,1.16906122389711,1.05576596775939,0.882443834292675
26,0.26,1.61754815788716,1.2762512774232,1.0976123682227,0.911289307543059
27,0.27,1.39780838741399,1.22284213409147,1.1005878689439,0.940074454020359
28,0.28,1.11445503347093,1.01970100723932,1.00663272842667,0.953100096681907
29,0.29,1.22710618288079,1.089766128496,1.10252769186706,1.04030635213708
30,0.3,2.28461243141054,1.82242484882251,1.54561888408907,1.22122258773416
31,0.31,2.65170534113918,2.08661740264281,1.73211168778439,1.31649867331411
32,0.32,2.15014209457516,1.97235187814694,1.77245248219398,1.42147095731278
33,0.33,2.3035678124363,2.04390405673596,1.81749025080263,1.44756816744512
34,0.34,2.71407085187463,2.29500690213649,1.95998180495745,1.4831036810392
35,0.35,3.08285686248886,2.48512032715595,2.06553678338543,1.53278701562217
36,0.36,2.9154234721324,2.26534226403831,1.90040981781058,1.44640863407889
37,0.37,2.39410434150624,1.98581609262199,1.69576972577179,1.31452490396222
38,0.38,1.8593711368622,1.63381559717613,1.47177893138807,1.24878348829569
39,0.39,1.41207049229928,1.3178899712022,1.23062909380981,1.13078347048475
40,0.4,1.21333669366707,1.1635684242203,1.10085734124774,1.05157771450938
41,0.41,1.19120928068563,1.10920690498609,1.05624948115312,1.06581082247034
42,0.42,1.33390910609119,1.20660391809019,1.20392449713311,1.17813321358006
43,0.43,1.82567290881717,1.63688244466838,1.507112698656,1.33408392914492
44,0.44,2.23466153983633,1.93830034301912,1.73100806780834,1.45730468008719
45,0.45,2.24371840573805,2.00317218271301,1.80129881004271,1.50631361754254
46,0.46,2.22374452724824,1.9666104324073,1.76392982694104,1.48032931957976
47,0.47,2.10350301356565,1.80366076471184,1.61238356051769,1.38700493020021
48,0.48,1.58554897365904,1.393145323628,1.32293633551958,1.25233695630748
49,0.49,1.70846222355874,1.52371384470493,1.3851864694622,1.18679588127342
50,0.5,1.69684222778468,1.54121588144186,1.41116026980806,1.21083653825283
51,0.51,1.63029711025147,1.49893559483149,1.38671564859365,1.24113642747899
52,0.52,1.94611370352079,1.71285313568727,1.55575978588789,1.3540367452363
53,0.53,2.1873862824427,1.91952925519466,1.71617954258532,1.434806474578
54,0.54,2.27273704521749,2.00326534857403,1.7829912417141,1.46542557927646
55,0.55,2.31714128264076,2.00918847766968,1.77313945250121,1.44432056818179
