id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,Inf,Inf,Inf,Inf
3,0.03,Inf,Inf,Inf,Inf
4,0.04,0.480420122594259,0.472052066096328,0.469058415976942,0.465338338139889
5,0.05,0.584885991602683,0.521639439527082,0.490135215355629,0.461835923260102
6,0.06,0.461065895021973,0.459276559420457,0.455921536130236,0.452202933732071
7,0.07,0.611959038940975,0.543963085419253,0.507997490458406,0.476031053097777
8,0.08,0.539341823675095,0.533636927514984,0.513428166820365,0.496969926287048
9,0.09,0.493587031474652,0.507549237531776,0.510214728367798,0.505856664665595
10,0.1,1.32835218187465,1.08276250226037,0.931875890342094,0.790740055898413
11,0.11,1.4291743709297,1.17294710507871,1.03534625297533,0.866301056589497
12,0.12,1.2971350685909,1.14024887993783,1.01680040033303,0.866291335972605
13,0.13,2.23860706183909,1.57307283910509,1.23581707892998,0.902926046473145
14,0.14,1.18207897457348,1.17345746140578,1.08955337004264,0.930087669143368
15,0.15,2.02958982206277,1.49481866189317,1.23464750265607,1.10117991974147
16,0.16,2.10593456319404,1.73803269130767,1.53246510821045,1.27582163954581
17,0.17,1.92636026825871,1.97378171154114,1.88789856800072,1.65534042218811
18,0.18,2.15561463930394,1.69179568049697,1.66414055973341,1.60345992013178
19,0.19,2.52237851815728,2.12725507320514,1.91039824296391,1.60046777297962
20,0.2,2.74208686064419,2.1169681735703,1.77134904967331,1.38685565483944
21,0.21,1.85915271431302,1.45443782538704,1.31054689753481,1.19783934387292
22,0.22,2.56440124787813,1.61691271352442,1.34634717247808,1.14761077512427
23,0.23,1.95168020770979,1.59656228981656,1.39148113030141,1.10265987533479
24,0.24,1.84162771393339,1.44070013891273,1.19520604216892,1.03916058732277
25,0.25,1.6238792074975,1.29421886801901,1.19816685781611,1.06122437482997
26,0.26,1.68167959452538,1.39781416267457,1.20721511111438,1.03619901723365
27,0.27,1.22446167310098,1.12984132316603,1.07141464142665,0.977243691692043
28,0.28,1.42285465569838,1.11083179291227,1.03650380171604,0.967405412319644
29,0.29,1.19118094044663,1.12139702922527,1.05464709708432,0.977360831977981
30,0.3,1.22941770083435,1.14806135349298,1.07245569591917,0.980063834696976
31,0.31,1.58126363889058,1.22803466506884,1.08370708801467,0.961981037910171
32,0.32,1.51176355069959,1.20646689111789,1.11643873999671,0.982773637705649
33,0.33,1.53412696431862,1.35050696405447,1.21862491768807,1.01511284860958
34,0.34,1.92080973314993,1.43621787128407,1.28300314507408,1.05717977925174
35,0.35,2.09247414021577,1.4916938851585,1.28130072987735,1.06136822453634
36,0.36,1.56701451287667,1.37906819140949,1.25833945552718,1.04466412335416
37,0.37,1.57685130286423,1.37188879697572,1.22681834350204,0.998026883736306
38,0.38,1.4741845273844,1.28626814809869,1.14337369648927,0.982467957214113
39,0.39,1.44976087938715,1.15207956623329,1.05712046693082,0.951346546449705
40,0.4,1.39609150886123,1.07468826317844,1.02110328204052,0.924013372979569
41,0.41,1.18998213392079,1.01439029594828,0.966852913781209,0.879313508674545
42,0.42,1.01177984306377,0.958761970352233,0.909145941421718,0.822833024166433
43,0.43,0.958217572303053,0.908878438377116,0.863234838407005,0.78085816324132
44,0.44,0.885267090366911,0.84365061360418,0.804435109686811,0.732232112397507
45,0.45,0.816940581988105,0.776369247546924,0.738851728592955,0.677329319981106
46,0.46,0.760073552740527,0.725930189937039,0.691546378798735,0.625548437288356
47,0.47,0.713336803765393,0.677769042408721,0.64414282538103,0.599603339015444
48,0.48,0.67960620316539,0.651352448178884,0.625949040172958,0.580780111116375
49,0.49,0.665798189824905,0.635506925111411,0.609584054194768,0.565086650912322
50,0.5,0.626863233342125,0.6050356292816,0.584140628532624,0.544906474485612
51,0.51,0.586023956294202,0.572638535122685,0.556728474512726,0.5226756429665
52,0.52,0.724286108085009,0.549710781176974,0.533664171200864,0.500467215242502
53,0.53,0.82071872878082,0.630494770357645,0.540604613510627,0.480109044322214
54,0.54,0.812885120322163,0.650031179955322,0.549185667569226,0.463123287795647
55,0.55,0.850524921645038,0.67877786210157,0.579942695910685,0.486439037542571
56,0.56,0.799830875991353,0.672478802559264,0.595691638678958,0.512652232183515
57,0.57,0.606675576058827,0.57451837752407,0.555031412587869,0.519146009415576
58,0.58,0.645421065033941,0.544743231020795,0.529836882253417,0.526545924380048
59,0.59,0.55184017436864,0.565846255890289,0.571010521285948,0.551305047051408
60,0.6,0.769439014192099,0.696001069357785,0.647589028625829,0.586372775234607
61,0.61,0.900073646075288,0.792009540266674,0.71630249363042,0.620017587169475
62,0.62,1.08475680649243,0.850923899049576,0.752529758999302,0.641981190507259
63,0.63,1.14710306959894,0.909748046007449,0.756724760983625,0.652337298985927
64,0.64,1.1623003589871,0.897169686684778,0.746772228442731,0.648106895597926
65,0.65,1.14888433966298,0.880836523655632,0.752566433444395,0.644180438244836
