id,set_id,pair,eq_dt,eq_length,eq_name,pga
1,10,1,0.005,6000,10_ARCELIK000,0.289094
2,10,2,0.005,6000,10_ARCELIK090,0.198026
3,11,1,0.02,2200,11_YERMO270,0.249779
4,11,2,0.02,2200,11_YERMO360,0.154608
5,12,1,0.0025,11186,12_COOLWATERLN,0.307756
6,12,2,0.0025,11186,12_COOLWATERTR,0.453639
7,13,1,0.005,7991,13_CAPITOLA000,0.576775
8,13,2,0.005,7991,13_CAPITOLA090,0.483768
9,14,1,0.005,7989,14_GILROY000,0.484841
10,14,2,0.005,7989,14_GILROY090,0.320909
11,15,1,0.02,2300,15_ABBARL_Trimmed,0.442312
12,15,2,0.02,2300,15_ABBART,0.426659
13,16,1,0.005,8000,16_ICC000,0.298081
14,16,2,0.005,8000,16_ICC090,0.215181
15,17,1,0.01,2230,17_POE270,0.543824
16,17,2,0.01,2230,17_POE360,0.36589
17,18,1,0.02,1800,18_RIODELL270,0.302314
18,18,2,0.02,1800,18_RIODELL360,0.430565
19,19,1,0.005,18000,19_CHY101E,0.151842
20,19,2,0.005,18000,19_CHY101N,0.18937
21,1,1,0.01,2999,1_MULHOLLAND009,0.288823
22,1,2,0.01,2999,1_MULHOLLAND279,0.358757
23,20,1,0.005,18000,20_TCU045E,0.459109
24,20,2,0.005,18000,20_TCU045N,0.495566
25,21,1,0.01,2800,21_HOLLYWOOD090,0.436565
26,21,2,0.01,2800,21_HOLLYWOOD180,0.362312
27,22,1,0.005,7269,22_TOLMEZZO000,0.526993
28,22,2,0.005,7269,22_TOLMEZZO270,0.472213
29,2,1,0.01,1999,2_LOSTCANYON000,0.356537
30,2,2,0.01,1999,2_LOSTCANYON270,0.419108
31,3,1,0.01,5590,3_BOLU000,0.458851
32,3,2,0.01,5590,3_BOLU090,0.518668
33,4,1,0.01,4531,4_HECTOR000,0.292371
34,4,2,0.01,4531,4_HECTOR090,0.370741
35,5,1,0.01,9992,5_DELTA262,0.30039
36,5,2,0.01,9992,5_DELTA352,0.443612
37,6,1,0.005,7807,6_ELCENTRO140,0.356869
38,6,2,0.005,7807,6_ELCENTRO230,0.372165
39,7,1,0.01,4096,7_NISHI000,0.537159
40,7,2,0.01,4096,7_NISHI090,0.53021
41,8,1,0.01,4096,8_SHIN000,0.279199
42,8,2,0.01,4096,8_SHIN090,0.243251
43,9,1,0.005,5437,9_DUZCE180,0.212507
44,9,2,0.005,5437,9_DUZCE270,0.243653
