id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,2.35183112389457,2.35690493016626,2.35650234906976,2.35218410520694
3,0.03,2.32005927374975,2.32433888947004,2.32077044914295,2.30799944883697
4,0.04,3.30678774189618,3.01375477396846,2.87450868077707,2.76436166738107
5,0.05,4.76987191378869,3.56400422237333,3.2553938735822,2.95601144344571
6,0.06,3.82749733494212,3.0931505249036,3.05360536514201,2.96653620513285
7,0.07,5.11676189675709,3.77998125479971,3.19377323045736,2.95865301767321
8,0.08,4.09224181891856,3.58259025208312,3.5650761522793,3.39686224872756
9,0.09,4.71472480663956,4.17304167870236,3.78630424722376,3.30101781978516
10,0.1,2.85710685221531,2.71663329796372,2.66790198097407,2.53050071101174
11,0.11,3.85205517868835,3.20141040024027,2.81193317850117,2.36808692011014
12,0.12,2.29014720966239,2.0262721337614,1.87902017093132,1.74312250355149
13,0.13,3.18787386120362,2.63820782091598,2.24906403740195,1.99717259735194
14,0.14,3.10415743326358,2.64414470059802,2.45238531752295,2.19631882371746
15,0.15,2.25791268404902,2.03814347863594,1.93256047800898,1.87433902188909
16,0.16,2.12217703333567,1.79338160121162,1.70353073674165,1.71317556962954
17,0.17,2.38341276854636,2.18513136447687,2.07204598525068,1.96594178613417
18,0.18,2.8437755158328,2.57752512303804,2.41637682928658,2.19729714508979
19,0.19,3.38229898053617,2.98234609528381,2.76004663823823,2.44648206142278
20,0.2,3.24833330599914,3.00307678827114,2.79453072747138,2.4792952218582
21,0.21,2.60755021153475,2.61632833568836,2.49026772992403,2.26554635247923
22,0.22,2.98869518308101,2.61884605014506,2.42722828343784,2.19142527287692
23,0.23,2.22492511052999,2.04447045307334,2.00119803770527,2.03338967534942
24,0.24,2.96471151235519,2.48092331566129,2.29763315241926,2.16453078658476
25,0.25,3.19476750769085,2.74299558730858,2.40693619243459,2.35116780241286
26,0.26,3.49947707295523,3.0488638042144,2.71988875865008,2.54213584776825
27,0.27,3.52112803015933,3.04116160572287,2.93278667445459,2.8306953490102
28,0.28,4.37163699687986,3.96781660349369,3.66753889383068,3.29426797425661
29,0.29,4.06891478860376,4.0762329967747,3.91717270412485,3.55872785674671
30,0.3,5.58199814284784,4.6294128145937,4.16009049426368,3.66169424069099
31,0.31,4.2193440982933,3.58997813288329,3.61789540597712,3.57601282187984
32,0.32,4.04801754824777,3.9101484007916,3.88304770825144,3.77701146987677
33,0.33,5.45521359909361,5.13253372933996,4.80272112731658,4.29726719914721
34,0.34,8.0669936952429,6.52497538887004,5.60879041960462,4.69183044622022
35,0.35,6.21139191428189,5.49230406830929,5.16611800296591,4.72246093049924
36,0.36,6.3517204236459,5.5576562173092,5.15342124797888,4.97838355190732
37,0.37,9.63131482856458,8.00234848070469,6.98411616001722,5.73716721125455
38,0.38,12.8102603751122,10.037260853271,8.38673458023857,6.28681761890775
39,0.39,13.2743696830217,10.1108741887382,8.3602419859798,6.16475551663152
40,0.4,10.3358126240657,8.13135518994569,6.88219614776958,5.38885537507715
41,0.41,6.55289657838075,5.52143011258765,4.9955438299329,4.45217606573631
42,0.42,5.72132702450598,5.14847507639396,4.65165390946198,3.84232787858071
43,0.43,6.05396302857241,4.69983035223579,4.26680974104961,3.62544092038608
44,0.44,6.07761063341482,5.03459776216056,4.37465781740359,3.60789691927936
45,0.45,6.32256786064616,5.29136441314512,4.54436735524302,3.54940851419694
46,0.46,6.10078456078721,5.06037598096151,4.32603805564818,3.33552680016415
47,0.47,5.7531987895612,4.83451870374277,4.11753928638417,3.15669530147024
48,0.48,5.37296126041494,4.51473664978236,3.92421370887848,3.08713259131579
49,0.49,5.02227136463234,4.27685868072414,3.72187832568259,2.93062624645642
50,0.5,4.3334592687002,3.74877037153549,3.30977476261449,2.66166725661454
51,0.51,3.41775349108904,3.08116673425413,2.7888463317821,2.32629092758684
52,0.52,2.85648193881704,2.57148338752525,2.391056204078,2.06996550166212
53,0.53,2.43350397014762,2.27316591543801,2.16934481932369,1.93246536527472
54,0.54,2.1535256783691,2.10694486125201,2.02601763648871,1.81720284456445
55,0.55,2.14000902063214,2.05704947758807,1.9549085580293,1.73325285003949
56,0.56,2.25432348866196,2.08867508324302,1.93397556608221,1.70523071430599
57,0.57,2.36786738584281,2.11254950303262,1.95985645497519,1.7102135744475
58,0.58,2.45466003201936,2.20714209716308,2.00758796179443,1.7018338077318
59,0.59,2.50485240424575,2.22291717762586,1.99855199088079,1.66348504405851
60,0.6,2.41630532719233,2.14303301225761,1.92156698795031,1.58785998166083
61,0.61,2.23297197240457,1.98547818237331,1.78605971359922,1.47875567199538
62,0.62,1.99929033943174,1.79025685406011,1.61331735620804,1.34606938712587
63,0.63,1.81551897704504,1.63927594180029,1.49057496099803,1.24715158934528
64,0.64,1.66956663762975,1.51451267072207,1.38521506834132,1.16831260078683
65,0.65,1.50608161965039,1.37660055016524,1.26747232943393,1.08121256460721
66,0.66,1.34169939243734,1.23513074148066,1.14574428876147,0.989143334395761
67,0.67,1.24495068285888,1.10647738584791,1.034019447003,0.933210380033809
68,0.68,1.24951594618851,1.12570616138783,1.01824806106896,0.897537472252644
69,0.69,1.24204250516009,1.12861692774685,1.02761988228296,0.865709428922358
70,0.7,1.23241046952502,1.12024960661113,1.02153343217947,0.862874830746393
71,0.71,1.21632664636083,1.09905334594113,0.999803512730434,0.84426065924963
72,0.72,1.18261389672826,1.05979996290492,0.960135632853291,0.809461790874489
73,0.73,1.12066305232482,0.994958051530593,0.898233779740175,0.77698111999042
74,0.74,1.0212148404035,0.941009053130804,0.872909465809938,0.756581432125996
75,0.75,1.04877623669783,0.936177230060962,0.859229327210418,0.741695228166559
76,0.76,1.05190408233957,0.922538158551012,0.837478105778613,0.72317557810379
77,0.77,1.00571115225869,0.898438890261784,0.816797892786518,0.700454215433112
78,0.78,0.974102956002485,0.87371619166576,0.796996845580337,0.717441456563429
79,0.79,0.946476185584424,0.882746984480438,0.827520000331449,0.740861509989082
80,0.8,0.98604649539032,0.913170321944571,0.849405126133978,0.761554621793605
81,0.81,1.00820550921771,0.929578336525461,0.860805054551175,0.780229685869533
82,0.82,1.0192269564858,0.936515619497159,0.863987937748995,0.796034006314081
83,0.83,1.019155463845,0.934834060689283,0.865204985359198,0.80823890901342
84,0.84,1.01173011293633,0.926613355020436,0.876497136648654,0.817834189346975
85,0.85,0.997483190900248,0.919733922140053,0.885909597373363,0.825549330978899
86,0.86,0.976925355644358,0.9262911812615,0.891966873560542,0.830163655739643
87,0.87,0.966242239253424,0.929516674902501,0.895106179534719,0.832788505875591
88,0.88,0.969349523257259,0.932306329532282,0.897497839606134,0.834242920752559
89,0.89,0.996934648505273,0.932123481924835,0.897023781745248,0.833162642135846
90,0.9,1.02639373289049,0.94984556176415,0.899328147931385,0.829977095821032
91,0.91,1.02887726236669,0.971010626539574,0.919260461832874,0.828397715966912
92,0.92,1.05119521292081,0.989624351897574,0.935623051683952,0.842072517953966
93,0.93,1.06405458573585,1.00397446073567,0.949110465747804,0.852906418882227
94,0.94,1.07525091032047,1.01372881113912,0.957556060661642,0.859385938400992
95,0.95,1.08195051521777,1.01998145015339,0.963390865339856,0.864122542065554
96,0.96,1.08376594233228,1.0214488953489,0.964483683364571,0.864436841922413
97,0.97,1.08111329056994,1.018856325714,0.961894727383255,0.861742642844721
98,0.98,1.07466742816373,1.01300383146557,0.956485885925595,0.856900973091006
99,0.99,1.06544130205018,1.00422298127565,0.948043631066538,0.848901678913524
100,1,1.05225710336332,0.992179127413882,0.937099976081098,0.839636338587406
101,1.02,1.02043374469994,0.962020192858392,0.908690560344938,0.814627954988165
102,1.04,0.980420755471207,0.924877238756392,0.873479369412679,0.783483249580161
103,1.06,0.934156507477101,0.881896560159125,0.833354039253624,0.747744100560103
104,1.08,0.883377154137799,0.834638619823013,0.789190127431658,0.708528701968809
105,1.1,0.849386034303513,0.784297495147384,0.742052930134566,0.666835339294664
106,1.12,0.863190342346282,0.793068740752665,0.730369679808499,0.624436207241535
107,1.14,0.867849807422565,0.798929322729189,0.737083458864582,0.631576300470768
108,1.16,0.864930247068481,0.79732398138198,0.736479295504122,0.63224952607159
109,1.18,0.85466338556216,0.788777286739287,0.729320131539227,0.627068884688491
110,1.2,0.910102449163413,0.812825862467612,0.731347126729795,0.616709954522263
111,1.22,0.942753743913806,0.842674297906634,0.757125933215161,0.621747120513756
112,1.24,0.946803191535254,0.846980513237333,0.761243947520542,0.623795905454535
113,1.26,0.929337253340197,0.831492631656564,0.747115571716804,0.611860043187682
114,1.28,0.913802390789667,0.802569678832986,0.720096931180912,0.588848300714448
115,1.3,0.960914747669777,0.845771798814169,0.749230534176493,0.599399640706744
116,1.32,0.987107700637773,0.867379026540762,0.770613911828646,0.619372937007277
117,1.34,0.996183770732922,0.872635920071757,0.776918942944848,0.625613227332504
118,1.36,0.9889012543132,0.859249328298264,0.766420766650127,0.637222842256482
119,1.38,0.969241094452305,0.83619274677281,0.762204739314326,0.641094281739042
120,1.4,0.944716928517367,0.822736848624542,0.75148017084256,0.634387022471852
121,1.42,0.911059117927062,0.795771625495765,0.728726650083017,0.6180997754122
122,1.44,0.879490709214972,0.757041323095264,0.695271392052271,0.593308433490397
123,1.46,0.839318876276505,0.715661462104084,0.653424371524074,0.561279385183939
124,1.48,0.787109836253638,0.677558829074713,0.604886669428808,0.523744456230297
125,1.5,0.731213792151647,0.639019629050962,0.561792105862726,0.482445278837105
126,1.52,0.679328798205412,0.595374279852077,0.525209872343493,0.43852456813658
127,1.54,0.621661271257159,0.547792901463524,0.490153754822471,0.414596439528054
128,1.56,0.566421419927157,0.507683366442861,0.458625970067324,0.404093333573768
129,1.58,0.511586216488282,0.472624431392479,0.443259983245747,0.391483711264884
130,1.6,0.483978885221253,0.453675856691544,0.426092925720861,0.377157141114159
131,1.62,0.461686360263762,0.43323964172617,0.40748394897211,0.36167581896627
132,1.64,0.438219089788012,0.411740187637024,0.387704118161957,0.345145014284806
