id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,0.216377773903165,0.214070034528736,0.213224942274925,0.213068131813331
3,0.03,0.215700437104339,0.214906929007094,0.214336992686515,0.213616601149537
4,0.04,0.214103180682038,0.21276995720258,0.21303153214359,0.213193851243073
5,0.05,0.214992302911934,0.214959328599193,0.214919280687637,0.214829956340637
6,0.06,0.218814494493875,0.218113511951613,0.218030925399147,0.217852861844208
7,0.07,0.240215054867584,0.232324223973825,0.230168010325134,0.226202659061951
8,0.08,0.341305558708247,0.289501454191052,0.27888308361493,0.267774467537502
9,0.09,0.370534515592724,0.322809909874806,0.293693865445197,0.275487710705928
10,0.1,0.444588615129136,0.458775372913315,0.468392978098191,0.449659909050899
11,0.11,0.728063975997767,0.610662901722851,0.526799710141494,0.443613607848709
12,0.12,0.734388459338061,0.553651716745607,0.45735182358594,0.354026502629546
13,0.13,0.677272110224529,0.5809448342536,0.513547186019325,0.435228868592649
14,0.14,0.581339242822363,0.514633611236114,0.485323713181992,0.43161517721499
15,0.15,0.71553137980925,0.573827865736521,0.498005319290436,0.463046802245237
16,0.16,0.736546694981424,0.631409130437976,0.567113665618452,0.513029928635766
17,0.17,0.855197979273943,0.651020359488027,0.550229178901149,0.485633578640259
18,0.18,0.942991938188551,0.716447597127401,0.606653820106635,0.532721783415133
19,0.19,1.04954926318779,0.848295493047601,0.720985047466331,0.574316510267467
20,0.2,0.88276429458272,0.775915374730596,0.689602902662771,0.564227907364214
21,0.21,0.745434267629525,0.610693379492207,0.543582752743124,0.491224491352881
22,0.22,0.601198896423074,0.542239263201233,0.495669390672907,0.426220284845165
23,0.23,0.583341947245982,0.526304104993602,0.479730499005691,0.408249551049992
24,0.24,0.606781745807662,0.576021352917163,0.542765336456412,0.48903246797441
25,0.25,0.844926581780219,0.692410287348853,0.610679342550673,0.525686133135068
26,0.26,0.44177088575224,0.487116863190624,0.510594027629427,0.502192379309463
27,0.27,0.696528712751687,0.615110269407099,0.572155873641196,0.514582583256985
28,0.28,0.927012860197094,0.693329793307008,0.580399589182151,0.509326622598564
29,0.29,0.799227206476547,0.658846958365163,0.559726133880241,0.46685164888709
30,0.3,0.563377336917566,0.511246844265623,0.466662792560577,0.40216759827025
31,0.31,0.473054208322164,0.445606201015972,0.420824498705757,0.378810100169361
32,0.32,0.426238911881691,0.420581777795562,0.402597175901772,0.361215703733091
33,0.33,0.547460992863203,0.457921082152667,0.407771872908507,0.372534369005697
34,0.34,0.528835583649585,0.485313460722817,0.455945928535544,0.416090255231405
35,0.35,0.677077991668638,0.587885849563658,0.525806219691789,0.450479737724813
36,0.36,0.649603559004205,0.573060237864231,0.517263543264553,0.447315717070666
37,0.37,0.521917791440366,0.483473916883269,0.454154971792192,0.413622224508458
38,0.38,0.592701868004277,0.489407063884878,0.427852991753465,0.371668099808449
39,0.39,0.627036739310532,0.490522696161459,0.409021603816481,0.345671545993909
40,0.4,0.556274621121467,0.485650797289234,0.431786183351347,0.367872625749348
41,0.41,0.567165876407853,0.489320987984069,0.460310519548209,0.43062810761472
42,0.42,0.696572575981277,0.619998051169539,0.566856226218941,0.496836538232728
43,0.43,0.765881252926035,0.691377837871387,0.633252090640332,0.54563757907045
44,0.44,0.808203631312495,0.726901086685879,0.668005581438435,0.577170108528101
45,0.45,0.905910925817265,0.797973319283688,0.734701389373077,0.640369573536458
46,0.46,0.965658868502135,0.854363330548764,0.792576688230503,0.690405257718082
47,0.47,1.00764011540445,0.899943110773111,0.835834871457276,0.727619353915744
48,0.48,1.05397516352895,0.940993717718073,0.867929105967038,0.752924583175563
49,0.49,1.06500420801755,0.961661722203196,0.882369630430545,0.762379871272566
50,0.5,1.08566892805402,0.935561419690564,0.864064433011707,0.754391555828096
51,0.51,1.02373706028564,0.872961349627313,0.819708751724001,0.732737921338587
52,0.52,0.915547364970743,0.797948315562079,0.767151852791847,0.705152385603842
53,0.53,0.828165548008097,0.736874675739673,0.721691535270919,0.680694117765046
54,0.54,0.773923407179199,0.703410652582199,0.697498233812925,0.666273096656571
55,0.55,0.760383563118455,0.707302621311252,0.697836395656032,0.662350957714268
56,0.56,0.769129146754609,0.741727528095785,0.718052456948466,0.667748545788981
57,0.57,0.834813366036563,0.787838342198108,0.746419086767524,0.674959804386266
58,0.58,0.88875567059682,0.822355206293994,0.767740861374872,0.680731779815897
59,0.59,0.90762322702483,0.834435369512721,0.774235959337864,0.679373929386595
60,0.6,0.894601409311896,0.824412360967951,0.765577575872852,0.670327695513319
61,0.61,0.864578458455229,0.802005145673235,0.746560045885031,0.655066490288365
62,0.62,0.828401297707743,0.773436735878243,0.722880074187932,0.635844340659577
63,0.63,0.801756629112724,0.744425432147807,0.697724535998202,0.614694943735399
64,0.64,0.78700238584817,0.717931880227176,0.673368143113371,0.593215257661842
65,0.65,0.774991316289233,0.70795697019614,0.650644592357403,0.572107588707756
66,0.66,0.767816086615087,0.69996763846768,0.638182767328624,0.550857357471541
67,0.67,0.763152922136322,0.692261850391674,0.62893458821615,0.528805101470541
68,0.68,0.760702177904683,0.685070089737016,0.619234767992628,0.512264988696661
69,0.69,0.756299515146728,0.675219893090674,0.606686349625679,0.498787960577655
70,0.7,0.747678407961301,0.661328044719059,0.590320355321039,0.483143557492512
71,0.71,0.730300945382774,0.641461598110803,0.570232889255755,0.465312660069687
72,0.72,0.703570676245945,0.614635131120024,0.544605064041265,0.44514551547661
73,0.73,0.664965255809334,0.578965676047359,0.513764008410387,0.422796170591743
74,0.74,0.611405761692788,0.53322868016672,0.475496137007034,0.397794867835099
75,0.75,0.563329712905106,0.476637255907139,0.429947836821591,0.370326684060316
76,0.76,0.507768690282532,0.448584898067902,0.400187066804479,0.361737309044293
77,0.77,0.488724161374204,0.428900691080673,0.407995439247475,0.376171282014831
78,0.78,0.467198417829403,0.443796635240447,0.423338097600965,0.388676365382177
79,0.79,0.482096500807117,0.457506928766417,0.436207532458008,0.399450512315816
80,0.8,0.493880018619184,0.468939452792449,0.446607874277808,0.40882575690409
