id,period,psa_1,psa_2,psa_3,psa_5
1,0.01,Inf,Inf,Inf,Inf
2,0.02,6.46973333120455,6.4696545538784,6.46950179414844,6.46913403388281
3,0.03,6.47292159391096,6.47136338053037,6.47026612496182,6.46977415992086
4,0.04,6.46804206568736,6.46811021438327,6.46819566517745,6.46830106760943
5,0.05,6.46874998367006,6.46873966293303,6.46878696360087,6.46883100896888
6,0.06,6.46996011939465,6.46989444992561,6.46980848902115,6.46969498521042
7,0.07,6.47009129311156,6.47010922263858,6.47018972109711,6.47041294286751
8,0.08,6.47766447406338,6.47604581455075,6.47534727871575,6.47460804495103
9,0.09,6.48160289789033,6.4817809691022,6.48125216521178,6.4803594442305
10,0.1,6.47909112413922,6.4848047529328,6.48708830500243,6.48899492562248
11,0.11,6.51954314940919,6.51520323700231,6.51109967951092,6.50536380145447
12,0.12,6.53586029329234,6.51763459507148,6.51037971703479,6.50242288780184
13,0.13,6.48827665409951,6.48840731755644,6.48836046330568,6.48858808444157
14,0.14,6.4975570324869,6.48098375108223,6.47410703327076,6.4760487968618
15,0.15,6.55887884806753,6.54331526053724,6.53146722424255,6.51676606052765
16,0.16,6.56350210006152,6.557220107006,6.55215837291879,6.5439644138355
17,0.17,6.59795134161402,6.58726053627366,6.57852975019862,6.56392731033772
18,0.18,6.63837044722187,6.61665853911591,6.5997914962273,6.5769247285241
19,0.19,6.56736457297081,6.56678252247213,6.56408049710833,6.55734012770307
20,0.2,6.53831095016876,6.53877619625321,6.54025371754461,6.54191667796309
21,0.21,6.53194034215331,6.53577196257229,6.53762875510199,6.53914096798515
22,0.22,6.56549327581047,6.55744493165517,6.55234946692721,6.54568709536149
23,0.23,6.5847981136841,6.56724397108766,6.55487249081798,6.54051018031876
24,0.24,6.54683216580027,6.52452409584458,6.51486309476322,6.50994484715167
25,0.25,6.48124443933273,6.47081985211972,6.46946651346195,6.48448727310314
26,0.26,6.59405333721488,6.57184247043267,6.55589306786768,6.54007188102292
27,0.27,6.64058708104965,6.62014887331817,6.60325365580008,6.58214323610706
28,0.28,6.63778651230635,6.62306862960859,6.61270325508749,6.59937438929018
29,0.29,6.59776426307373,6.59930158083256,6.60154308996523,6.60382636955867
30,0.3,6.58358303185834,6.59668771721004,6.60515600589427,6.61474415085706
31,0.31,6.63712431083755,6.64013829589819,6.64205415773753,6.64155963097275
32,0.32,6.71467393740699,6.69904307240518,6.68896691032793,6.67608700258332
33,0.33,6.74052833237733,6.73125024169269,6.7223504119052,6.70585427025088
34,0.34,6.77981313530221,6.76140798078697,6.74742937292919,6.72710110872859
35,0.35,6.78244172414352,6.76941399929605,6.75796520315293,6.7403577611226
36,0.36,6.77134120195687,6.75928625106856,6.75261227384925,6.74424714376624
37,0.37,6.71914084689762,6.73331439701726,6.74162519160633,6.74781323006941
38,0.38,6.7298210400943,6.74422723117035,6.75430981636659,6.76309673646416
39,0.39,6.78549769411491,6.79223127007027,6.79410919720728,6.79246359735041
40,0.4,6.89196113388407,6.8659278106355,6.85056292062477,6.82791879483065
41,0.41,6.93719005263455,6.91067500260576,6.889678269606,6.85958025269164
42,0.42,6.95312703599446,6.93143820312576,6.91172327002953,6.87915214229208
43,0.43,6.96398075442405,6.94003653049728,6.9214123933727,6.89187431827858
44,0.44,6.93939472564176,6.93156998139749,6.92065540135442,6.89696897314104
45,0.45,6.94315626433734,6.93516102612705,6.92389535223777,6.90035843814702
46,0.46,6.9807105095642,6.95029818323461,6.92873771064062,6.89972903998108
47,0.47,6.96533744025155,6.93473516069792,6.91416565101681,6.88915105015473
48,0.48,6.89413242427803,6.8850839293985,6.87983164332475,6.87191441828906
49,0.49,6.82708382627968,6.83534325201603,6.84277561336181,6.85253459327534
50,0.5,6.78402471510301,6.80021168158216,6.81466601021906,6.83783694281138
51,0.51,6.75100421077277,6.77755334258183,6.79949330364149,6.83300912681114
52,0.52,6.7493219269678,6.77840594282713,6.80200461124585,6.83850306189079
53,0.53,6.78461447460537,6.80297949660525,6.82156212329189,6.85580098229313
54,0.54,6.81621259764534,6.83149026981146,6.84838045612172,6.88207410716262
55,0.55,6.83189528522436,6.85913351716694,6.88178207944595,6.91663938366975
56,0.56,6.87546426453867,6.9079436846314,6.93153598069773,6.96368575023732
57,0.57,6.9773277453684,6.99156187432604,7.0041581451816,7.02241504516337
58,0.58,7.10612372684519,7.09639705416641,7.09271397831134,7.090472045699
59,0.59,7.22206358241082,7.19754725489,7.18219807537971,7.16323198976295
60,0.6,7.31023416545021,7.28607179654388,7.26559379303386,7.23661227675419
