id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
1,9,6,1,0,0,0,0,139,0,0
2,9,6,1,300,0,0,300,139,0,0
3,9,6,1,600,0,0,600,139,0,0
4,9,6,1,900,0,0,900,139,0,0
5,9,6,1,1200,0,0,1200,139,0,0
6,9,6,1,1500,0,0,1500,139,0,0
7,9,2,1,0,139,0,0,156.5,0,0
8,9,2,1,300,139,0,300,156.5,0,0
9,9,2,1,600,139,0,600,156.5,0,0
10,9,2,1,900,139,0,900,156.5,0,0
11,9,2,1,1200,139,0,1200,156.5,0,0
12,9,2,1,1500,139,0,1500,156.5,0,0
13,9,2,1,0,156.5,0,0,174,0,0
14,9,2,1,300,156.5,0,300,174,0,0
15,9,2,1,600,156.5,0,600,174,0,0
16,9,2,1,900,156.5,0,900,174,0,0
17,9,2,1,1200,156.5,0,1200,174,0,0
18,9,2,1,1500,156.5,0,1500,174,0,0
19,9,8,2,12,156.5,0,288,156.5,0,110
20,9,8,2,312,156.5,0,588,156.5,0,110
21,9,8,2,612,156.5,0,888,156.5,0,110
22,9,8,2,912,156.5,0,1188,156.5,0,110
23,9,8,2,1212,156.5,0,1488,156.5,0,110
24,9,2,2,0,156.5,0,12,156.5,0,0
25,9,2,2,300,156.5,0,312,156.5,0,0
26,9,2,2,600,156.5,0,612,156.5,0,0
27,9,2,2,900,156.5,0,912,156.5,0,0
28,9,2,2,1200,156.5,0,1212,156.5,0,0
29,9,2,2,288,156.5,0,300,156.5,0,0
30,9,2,2,588,156.5,0,600,156.5,0,0
31,9,2,2,888,156.5,0,900,156.5,0,0
32,9,2,2,1188,156.5,0,1200,156.5,0,0
33,9,2,2,1488,156.5,0,1500,156.5,0,0
34,9,6,1,0,0,300,0,139,300,0
35,9,6,1,300,0,300,300,139,300,0
36,9,6,1,600,0,300,600,139,300,0
37,9,6,1,900,0,300,900,139,300,0
38,9,6,1,1200,0,300,1200,139,300,0
39,9,6,1,1500,0,300,1500,139,300,0
40,9,2,1,0,139,300,0,156.5,300,0
41,9,2,1,300,139,300,300,156.5,300,0
42,9,2,1,600,139,300,600,156.5,300,0
43,9,2,1,900,139,300,900,156.5,300,0
44,9,2,1,1200,139,300,1200,156.5,300,0
45,9,2,1,1500,139,300,1500,156.5,300,0
46,9,2,1,0,156.5,300,0,174,300,0
47,9,2,1,300,156.5,300,300,174,300,0
48,9,2,1,600,156.5,300,600,174,300,0
49,9,2,1,900,156.5,300,900,174,300,0
50,9,2,1,1200,156.5,300,1200,174,300,0
51,9,2,1,1500,156.5,300,1500,174,300,0
52,9,8,2,12,156.5,300,288,156.5,300,110
53,9,8,2,312,156.5,300,588,156.5,300,110
54,9,8,2,612,156.5,300,888,156.5,300,110
55,9,8,2,912,156.5,300,1188,156.5,300,110
56,9,8,2,1212,156.5,300,1488,156.5,300,110
57,9,2,2,0,156.5,300,12,156.5,300,0
58,9,2,2,300,156.5,300,312,156.5,300,0
59,9,2,2,600,156.5,300,612,156.5,300,0
60,9,2,2,900,156.5,300,912,156.5,300,0
61,9,2,2,1200,156.5,300,1212,156.5,300,0
62,9,2,2,288,156.5,300,300,156.5,300,0
63,9,2,2,588,156.5,300,600,156.5,300,0
64,9,2,2,888,156.5,300,900,156.5,300,0
65,9,2,2,1188,156.5,300,1200,156.5,300,0
66,9,2,2,1488,156.5,300,1500,156.5,300,0
67,9,6,1,0,0,600,0,139,600,0
68,9,6,1,300,0,600,300,139,600,0
69,9,6,1,600,0,600,600,139,600,0
70,9,6,1,900,0,600,900,139,600,0
71,9,6,1,1200,0,600,1200,139,600,0
72,9,6,1,1500,0,600,1500,139,600,0
73,9,2,1,0,139,600,0,156.5,600,0
74,9,2,1,300,139,600,300,156.5,600,0
75,9,2,1,600,139,600,600,156.5,600,0
76,9,2,1,900,139,600,900,156.5,600,0
77,9,2,1,1200,139,600,1200,156.5,600,0
78,9,2,1,1500,139,600,1500,156.5,600,0
79,9,2,1,0,156.5,600,0,174,600,0
80,9,2,1,300,156.5,600,300,174,600,0
81,9,2,1,600,156.5,600,600,174,600,0
82,9,2,1,900,156.5,600,900,174,600,0
83,9,2,1,1200,156.5,600,1200,174,600,0
84,9,2,1,1500,156.5,600,1500,174,600,0
85,9,8,2,12,156.5,600,288,156.5,600,110
86,9,8,2,312,156.5,600,588,156.5,600,110
87,9,8,2,612,156.5,600,888,156.5,600,110
88,9,8,2,912,156.5,600,1188,156.5,600,110
89,9,8,2,1212,156.5,600,1488,156.5,600,110
90,9,2,2,0,156.5,600,12,156.5,600,0
91,9,2,2,300,156.5,600,312,156.5,600,0
92,9,2,2,600,156.5,600,612,156.5,600,0
93,9,2,2,900,156.5,600,912,156.5,600,0
94,9,2,2,1200,156.5,600,1212,156.5,600,0
95,9,2,2,288,156.5,600,300,156.5,600,0
96,9,2,2,588,156.5,600,600,156.5,600,0
97,9,2,2,888,156.5,600,900,156.5,600,0
98,9,2,2,1188,156.5,600,1200,156.5,600,0
99,9,2,2,1488,156.5,600,1500,156.5,600,0
100,9,6,1,0,0,900,0,139,900,0
101,9,6,1,300,0,900,300,139,900,0
102,9,6,1,600,0,900,600,139,900,0
103,9,6,1,900,0,900,900,139,900,0
104,9,6,1,1200,0,900,1200,139,900,0
105,9,6,1,1500,0,900,1500,139,900,0
106,9,2,1,0,139,900,0,156.5,900,0
107,9,2,1,300,139,900,300,156.5,900,0
108,9,2,1,600,139,900,600,156.5,900,0
109,9,2,1,900,139,900,900,156.5,900,0
110,9,2,1,1200,139,900,1200,156.5,900,0
111,9,2,1,1500,139,900,1500,156.5,900,0
112,9,2,1,0,156.5,900,0,174,900,0
113,9,2,1,300,156.5,900,300,174,900,0
114,9,2,1,600,156.5,900,600,174,900,0
115,9,2,1,900,156.5,900,900,174,900,0
116,9,2,1,1200,156.5,900,1200,174,900,0
117,9,2,1,1500,156.5,900,1500,174,900,0
118,9,8,2,12,156.5,900,288,156.5,900,110
119,9,8,2,312,156.5,900,588,156.5,900,110
120,9,8,2,612,156.5,900,888,156.5,900,110
121,9,8,2,912,156.5,900,1188,156.5,900,110
122,9,8,2,1212,156.5,900,1488,156.5,900,110
123,9,2,2,0,156.5,900,12,156.5,900,0
124,9,2,2,300,156.5,900,312,156.5,900,0
125,9,2,2,600,156.5,900,612,156.5,900,0
126,9,2,2,900,156.5,900,912,156.5,900,0
127,9,2,2,1200,156.5,900,1212,156.5,900,0
128,9,2,2,288,156.5,900,300,156.5,900,0
129,9,2,2,588,156.5,900,600,156.5,900,0
130,9,2,2,888,156.5,900,900,156.5,900,0
131,9,2,2,1188,156.5,900,1200,156.5,900,0
132,9,2,2,1488,156.5,900,1500,156.5,900,0
133,9,8,1,0,0,450,0,174,450,0
134,9,8,1,600,0,450,600,174,450,0
135,9,8,1,900,0,450,900,174,450,0
136,9,8,1,1200,0,450,1200,174,450,0
137,9,2,1,-67.5,174,0,0,174,0,0
138,9,2,1,-67.5,174,300,0,174,300,0
139,9,2,1,-67.5,174,600,0,174,600,0
140,9,2,1,-67.5,174,900,0,174,900,0
141,9,2,1,1500,174,0,1567.5,174,0,0
142,9,2,1,1500,174,300,1567.5,174,300,0
143,9,2,1,1500,174,600,1567.5,174,600,0
144,9,2,1,1500,174,900,1567.5,174,900,0
145,10,7,1,0,0,0,0,105,0,0
146,10,7,1,300,0,0,300,105,0,0
147,10,7,1,600,0,0,600,105,0,0
148,10,7,1,900,0,0,900,105,0,0
149,10,7,1,1200,0,0,1200,105,0,0
150,10,7,1,1500,0,0,1500,105,0,0
151,10,2,1,0,105,0,0,133.5,0,0
152,10,2,1,300,105,0,300,133.5,0,0
153,10,2,1,600,105,0,600,133.5,0,0
154,10,2,1,900,105,0,900,133.5,0,0
155,10,2,1,1200,105,0,1200,133.5,0,0
156,10,2,1,1500,105,0,1500,133.5,0,0
157,10,2,1,0,133.5,0,0,162,0,0
158,10,2,1,300,133.5,0,300,162,0,0
