id,grid_line_id,element_id,orientation,x_start,y_start,x_end,y_end
1,1,6,1,0,0,0,1
2,1,6,1,300,0,300,1
3,1,6,1,600,0,600,1
4,1,6,1,900,0,900,1
5,1,6,1,1200,0,1200,1
6,1,6,1,1500,0,1500,1
7,1,8,2,0,1,300,1
8,1,8,2,300,1,600,1
9,1,8,2,600,1,900,1
10,1,8,2,900,1,1200,1
11,1,8,2,1200,1,1500,1
12,2,12,4,0,0,300,1
13,3,6,1,0,0,0,1
14,3,6,1,300,0,300,1
15,3,6,1,600,0,600,1
16,3,6,1,900,0,900,1
17,3,6,1,1200,0,1200,1
18,3,6,1,1500,0,1500,1
19,3,9,2,0,1,300,1
20,3,9,2,300,1,600,1
21,3,9,2,600,1,900,1
22,3,9,2,900,1,1200,1
23,3,9,2,1200,1,1500,1
24,4,7,1,0,0,0,1
25,4,7,1,300,0,300,1
26,4,7,1,600,0,600,1
27,4,7,1,900,0,900,1
28,4,7,1,1200,0,1200,1
29,4,7,1,1500,0,1500,1
30,4,10,2,0,1,300,1
31,4,10,2,300,1,600,1
32,4,10,2,600,1,900,1
33,4,10,2,900,1,1200,1
34,4,10,2,1200,1,1500,1
35,5,14,4,0,0,300,1
36,5,14,4,300,0,600,1
37,5,14,4,600,0,900,1
38,6,16,2,0,1,71,1
39,7,17,2,0,1,71,1
40,8,7,1,0,0,0,1
41,8,7,1,300,0,300,1
42,8,7,1,600,0,600,1
43,8,7,1,900,0,900,1
44,8,7,1,1200,0,1200,1
45,8,7,1,1500,0,1500,1
46,8,11,2,0,1,300,1
47,8,11,2,300,1,600,1
48,8,11,2,600,1,900,1
49,8,11,2,900,1,1200,1
50,8,11,2,1200,1,1500,1
51,9,15,4,0,0,300,1
52,9,15,4,300,0,600,1
53,9,15,4,600,0,900,1
