id,story_group_id,grid_line_id,orientation,x_start,z_start
1,1,1,1,0,300
2,1,1,1,0,600
3,1,5,1,0,0
4,1,5,1,0,900
5,1,8,1,-71,0
6,1,8,1,-71,300
7,1,8,1,-71,600
8,1,8,1,-71,900
9,1,8,1,1500,0
10,1,8,1,1500,300
11,1,8,1,1500,600
12,1,8,1,1500,900
13,1,10,3,0,300
14,1,10,3,600,300
15,1,10,3,1200,300
16,1,11,3,900,300
1,2,2,1,0,300
2,2,2,1,0,600
3,2,6,1,0,0
4,2,6,1,0,900
5,2,9,1,-71,0
6,2,9,1,-71,300
7,2,9,1,-71,600
8,2,9,1,-71,900
9,2,9,1,1500,0
10,2,9,1,1500,300
11,2,9,1,1500,600
12,2,9,1,1500,900
13,2,12,3,-71,0
14,2,12,3,1571,0
1,3,3,1,0,300
2,3,3,1,0,600
3,3,6,1,0,0
4,3,6,1,0,900
5,3,9,1,-71,0
6,3,9,1,-71,300
7,3,9,1,-71,600
8,3,9,1,-71,900
9,3,9,1,1500,0
10,3,9,1,1500,300
11,3,9,1,1500,600
12,3,9,1,1500,900
13,3,13,3,-71,0
14,3,13,3,1571,0
1,4,4,1,0,300
2,4,4,1,0,600
3,4,6,1,0,0
4,4,6,1,0,900
5,4,9,1,-71,0
6,4,9,1,-71,300
7,4,9,1,-71,600
8,4,9,1,-71,900
9,4,9,1,1500,0
10,4,9,1,1500,300
11,4,9,1,1500,600
12,4,9,1,1500,900
13,4,13,3,-71,0
14,4,13,3,1571,0
1,5,4,1,0,300
2,5,4,1,0,600
3,5,7,1,0,0
4,5,7,1,0,900
5,5,9,1,-71,0
6,5,9,1,-71,300
7,5,9,1,-71,600
8,5,9,1,-71,900
9,5,9,1,1500,0
10,5,9,1,1500,300
11,5,9,1,1500,600
12,5,9,1,1500,900
13,5,13,3,-71,0
14,5,13,3,1571,0
