id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
1,6,6,1,0,0,0,0,139,0,0
2,6,6,1,300,0,0,300,139,0,0
3,6,6,1,600,0,0,600,139,0,0
4,6,6,1,900,0,0,900,139,0,0
5,6,6,1,1200,0,0,1200,139,0,0
6,6,6,1,1500,0,0,1500,139,0,0
7,6,2,1,0,139,0,0,174,0,0
8,6,2,1,300,139,0,300,174,0,0
9,6,2,1,600,139,0,600,174,0,0
10,6,2,1,900,139,0,900,174,0,0
11,6,2,1,1200,139,0,1200,174,0,0
12,6,2,1,1500,139,0,1500,174,0,0
13,6,8,2,12,174,0,288,174,0,110
14,6,8,2,312,174,0,588,174,0,110
15,6,8,2,612,174,0,888,174,0,110
16,6,8,2,912,174,0,1188,174,0,110
17,6,8,2,1212,174,0,1488,174,0,110
18,6,2,2,0,174,0,12,174,0,0
19,6,2,2,300,174,0,312,174,0,0
20,6,2,2,600,174,0,612,174,0,0
21,6,2,2,900,174,0,912,174,0,0
22,6,2,2,1200,174,0,1212,174,0,0
23,6,2,2,288,174,0,300,174,0,0
24,6,2,2,588,174,0,600,174,0,0
25,6,2,2,888,174,0,900,174,0,0
26,6,2,2,1188,174,0,1200,174,0,0
27,6,2,2,1488,174,0,1500,174,0,0
28,6,1,2,1500,174,0,1600,174,0,0
29,6,6,1,1600,0,0,1600,139,0,0
30,6,6,1,1900,0,0,1900,139,0,0
31,6,6,1,2200,0,0,2200,139,0,0
32,6,6,1,2500,0,0,2500,139,0,0
33,6,6,1,2800,0,0,2800,139,0,0
34,6,6,1,3100,0,0,3100,139,0,0
35,6,2,1,1600,139,0,1600,174,0,0
36,6,2,1,1900,139,0,1900,174,0,0
37,6,2,1,2200,139,0,2200,174,0,0
38,6,2,1,2500,139,0,2500,174,0,0
39,6,2,1,2800,139,0,2800,174,0,0
40,6,2,1,3100,139,0,3100,174,0,0
41,6,8,2,1612,174,0,1888,174,0,110
42,6,8,2,1912,174,0,2188,174,0,110
43,6,8,2,2212,174,0,2488,174,0,110
44,6,8,2,2512,174,0,2788,174,0,110
45,6,8,2,2812,174,0,3088,174,0,110
46,6,2,2,1600,174,0,1612,174,0,0
47,6,2,2,1900,174,0,1912,174,0,0
48,6,2,2,2200,174,0,2212,174,0,0
49,6,2,2,2500,174,0,2512,174,0,0
50,6,2,2,2800,174,0,2812,174,0,0
51,6,2,2,1888,174,0,1900,174,0,0
52,6,2,2,2188,174,0,2200,174,0,0
53,6,2,2,2488,174,0,2500,174,0,0
54,6,2,2,2788,174,0,2800,174,0,0
55,6,2,2,3088,174,0,3100,174,0,0
56,7,7,1,0,0,0,0,105,0,0
57,7,7,1,300,0,0,300,105,0,0
58,7,7,1,600,0,0,600,105,0,0
59,7,7,1,900,0,0,900,105,0,0
60,7,7,1,1200,0,0,1200,105,0,0
61,7,7,1,1500,0,0,1500,105,0,0
62,7,2,1,0,105,0,0,162,0,0
63,7,2,1,300,105,0,300,162,0,0
64,7,2,1,600,105,0,600,162,0,0
65,7,2,1,900,105,0,900,162,0,0
66,7,2,1,1200,105,0,1200,162,0,0
67,7,2,1,1500,105,0,1500,162,0,0
68,7,10,2,9,162,0,291,162,0,116.25
69,7,10,2,309,162,0,597,162,0,116.25
70,7,10,2,609,162,0,891,162,0,116.25
71,7,10,2,909,162,0,1191,162,0,116.25
72,7,10,2,1209,162,0,1491,162,0,116.25
73,7,2,2,0,162,0,9,162,0,0
74,7,2,2,300,162,0,309,162,0,0
75,7,2,2,600,162,0,609,162,0,0
76,7,2,2,900,162,0,909,162,0,0
77,7,2,2,1200,162,0,1209,162,0,0
78,7,2,2,291,162,0,300,162,0,0
79,7,2,2,597,162,0,600,162,0,0
80,7,2,2,891,162,0,900,162,0,0
81,7,2,2,1191,162,0,1200,162,0,0
82,7,2,2,1491,162,0,1500,162,0,0
83,7,1,2,1500,162,0,1600,162,0,0
84,7,6,1,1600,0,0,1600,129,0,0
85,7,6,1,1900,0,0,1900,129,0,0
86,7,6,1,2200,0,0,2200,129,0,0
87,7,6,1,2500,0,0,2500,129,0,0
88,7,6,1,2800,0,0,2800,129,0,0
89,7,6,1,3100,0,0,3100,129,0,0
90,7,2,1,1600,129,0,1600,162,0,0
91,7,2,1,1900,129,0,1900,162,0,0
92,7,2,1,2200,129,0,2200,162,0,0
