id,name,dimension,num_stories,framing_system_1,framing_system_2,year,ie,design_drift,lat,lng,site_class,vs30,sds,sd1,dim_1_ft,dim_2_ft,num_bays,num_bays_lfrs,story_ht_first,story_ht_others,foundation,primary_node_offset,design_sheet_dir,design_sheet_name
m104v1,baseline_4story,2D,4,C1a,C1a,2020,1,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_baseline_Opensees
m108v1,baseline_8story,2D,8,C1a,C1a,2020,1,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_baseline_Opensees
m112v1,baseline_12story,2D,12,C1a,C1a,2020,1,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_baseline_Opensees
m120v1,baseline_20story,2D,20,C1a,C1a,2020,1,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,20Story_RCMF_baseline_Opensees
m104v2,4story_ie125,2D,4,C1a,C1a,2020,1.25,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_ie125_Opensees
m104v3,4story_ie150,2D,4,C1a,C1a,2020,1.5,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_ie150_Opensees
m104v4,4story_drift15,2D,4,C1a,C1a,2020,1,0.015,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_drift15_Opensees
m104v5,4story_drift10,2D,4,C1a,C1a,2020,1,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_drift10_Opensees
m104v6,4story_rc4,2D,4,C1a,C1a,2020,1.5,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,4Story_RCMF_rc4_Opensees
m108v2,8story_ie125,2D,8,C1a,C1a,2020,1.25,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_ie125_Opensees
m108v3,8story_ie150,2D,8,C1a,C1a,2020,1.5,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_ie150_Opensees
m108v4,8story_drift15,2D,8,C1a,C1a,2020,1,0.015,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_drift15_Opensees
m108v5,8story_drift10,2D,8,C1a,C1a,2020,1,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_drift10_Opensees
m108v6,8story_rc4,2D,8,C1a,C1a,2020,1.5,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,8Story_RCMF_rc4_Opensees
m112v2,12story_ie125,2D,12,C1a,C1a,2020,1.25,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_ie125_Opensees
m112v3,12story_ie150,2D,12,C1a,C1a,2020,1.5,0.02,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_ie150_Opensees
m112v4,12story_drift15,2D,12,C1a,C1a,2020,1,0.015,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_drift15_Opensees
m112v5,12story_drift10,2D,12,C1a,C1a,2020,1,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_drift10_Opensees
m112v6,12story_rc4,2D,12,C1a,C1a,2020,1.5,0.01,34.05,-118.25,C,537,1,0.6,120,120,6,6,15,13,1,0,C:\Users\dtc2\OneDrive - NIST\NIST\Cost Benefit Study\Design\RCMF - Cook,12Story_RCMF_rc4_Opensees
