id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
1,1,6,1,0,0,0,0,300,0,0
2,1,6,1,300,0,0,300,300,0,0
3,1,6,1,600,0,0,600,300,0,0
4,1,6,1,0,0,300,0,300,300,0
5,1,6,1,300,0,300,300,300,300,0
6,1,6,1,600,0,300,600,300,300,0
7,1,6,1,0,0,600,0,300,600,0
8,1,6,1,300,0,600,300,300,600,0
9,1,6,1,600,0,600,600,300,600,0
10,1,6,2,0,300,0,300,300,0,100
11,1,6,2,300,300,0,600,300,0,100
12,1,6,2,0,300,300,300,300,300,100
13,1,6,2,300,300,300,600,300,300,100
14,1,6,2,0,300,600,300,300,600,100
15,1,6,2,300,300,600,600,300,600,100
16,1,6,3,0,300,0,0,300,300,100
17,1,6,3,300,300,0,300,300,300,100
18,1,6,3,600,300,0,600,300,300,100
19,1,6,3,0,300,300,0,300,600,100
20,1,6,3,300,300,300,300,300,600,100
21,1,6,3,600,300,300,600,300,600,100
22,2,3,1,0,0,0,0,173,0,0
23,2,3,1,0,173,0,0,174,0,2200
24,3,4,1,0,0,0,0,161,0,0
25,3,4,1,0,161,0,0,162,0,2325
26,4,5,1,0,0,0,0,161,0,0
27,4,5,1,0,161,0,0,162,0,2325
28,5,5,1,0,0,0,0,157,0,0
29,5,5,1,0,157,0,0,158,0,1900
30,6,6,1,0,0,0,0,139,0,0
31,6,6,1,300,0,0,300,139,0,0
32,6,6,1,600,0,0,600,139,0,0
33,6,6,1,900,0,0,900,139,0,0
34,6,6,1,1200,0,0,1200,139,0,0
35,6,6,1,1500,0,0,1500,139,0,0
36,6,2,1,0,139,0,0,174,0,0
37,6,2,1,300,139,0,300,174,0,0
38,6,2,1,600,139,0,600,174,0,0
39,6,2,1,900,139,0,900,174,0,0
40,6,2,1,1200,139,0,1200,174,0,0
41,6,2,1,1500,139,0,1500,174,0,0
42,6,8,2,12,174,0,288,174,0,110
43,6,8,2,312,174,0,588,174,0,110
44,6,8,2,612,174,0,888,174,0,110
45,6,8,2,912,174,0,1188,174,0,110
46,6,8,2,1212,174,0,1488,174,0,110
47,6,2,2,0,174,0,12,174,0,0
48,6,2,2,300,174,0,312,174,0,0
49,6,2,2,600,174,0,612,174,0,0
50,6,2,2,900,174,0,912,174,0,0
51,6,2,2,1200,174,0,1212,174,0,0
52,6,2,2,288,174,0,300,174,0,0
53,6,2,2,588,174,0,600,174,0,0
54,6,2,2,888,174,0,900,174,0,0
55,6,2,2,1188,174,0,1200,174,0,0
56,6,2,2,1488,174,0,1500,174,0,0
57,6,1,2,1500,174,0,1600,174,0,0
58,6,6,1,1600,0,0,1600,139,0,0
59,6,6,1,1900,0,0,1900,139,0,0
60,6,6,1,2200,0,0,2200,139,0,0
61,6,6,1,2500,0,0,2500,139,0,0
62,6,6,1,2800,0,0,2800,139,0,0
63,6,6,1,3100,0,0,3100,139,0,0
64,6,2,1,1600,139,0,1600,174,0,0
65,6,2,1,1900,139,0,1900,174,0,0
66,6,2,1,2200,139,0,2200,174,0,0
67,6,2,1,2500,139,0,2500,174,0,0
68,6,2,1,2800,139,0,2800,174,0,0
69,6,2,1,3100,139,0,3100,174,0,0
70,6,8,2,1612,174,0,1888,174,0,110
71,6,8,2,1912,174,0,2188,174,0,110
72,6,8,2,2212,174,0,2488,174,0,110
73,6,8,2,2512,174,0,2788,174,0,110
74,6,8,2,2812,174,0,3088,174,0,110
75,6,2,2,1600,174,0,1612,174,0,0
76,6,2,2,1900,174,0,1912,174,0,0
77,6,2,2,2200,174,0,2212,174,0,0
78,6,2,2,2500,174,0,2512,174,0,0
79,6,2,2,2800,174,0,2812,174,0,0
80,6,2,2,1888,174,0,1900,174,0,0
81,6,2,2,2188,174,0,2200,174,0,0
82,6,2,2,2488,174,0,2500,174,0,0
83,6,2,2,2788,174,0,2800,174,0,0
84,6,2,2,3088,174,0,3100,174,0,0
85,7,7,1,0,0,0,0,105,0,0
86,7,7,1,300,0,0,300,105,0,0
87,7,7,1,600,0,0,600,105,0,0
88,7,7,1,900,0,0,900,105,0,0
89,7,7,1,1200,0,0,1200,105,0,0
90,7,7,1,1500,0,0,1500,105,0,0
91,7,2,1,0,105,0,0,162,0,0
92,7,2,1,300,105,0,300,162,0,0
93,7,2,1,600,105,0,600,162,0,0
94,7,2,1,900,105,0,900,162,0,0
95,7,2,1,1200,105,0,1200,162,0,0
96,7,2,1,1500,105,0,1500,162,0,0
97,7,10,2,9,162,0,291,162,0,116.25
98,7,10,2,309,162,0,597,162,0,116.25
99,7,10,2,609,162,0,891,162,0,116.25
100,7,10,2,909,162,0,1191,162,0,116.25
101,7,10,2,1209,162,0,1491,162,0,116.25
102,7,2,2,0,162,0,9,162,0,0
103,7,2,2,300,162,0,309,162,0,0
104,7,2,2,600,162,0,609,162,0,0
105,7,2,2,900,162,0,909,162,0,0
106,7,2,2,1200,162,0,1209,162,0,0
107,7,2,2,291,162,0,300,162,0,0
108,7,2,2,597,162,0,600,162,0,0
109,7,2,2,891,162,0,900,162,0,0
110,7,2,2,1191,162,0,1200,162,0,0
111,7,2,2,1491,162,0,1500,162,0,0
112,7,1,2,1500,162,0,1600,162,0,0
113,7,6,1,1600,0,0,1600,129,0,0
114,7,6,1,1900,0,0,1900,129,0,0
