id,eq_dir,eq_dt,eq_length,eq_name,pga
1,ground_motions/ICSB_1979,0.01,5809,chan_13_accel.tcl,0.3314
2,ground_motions/ICSB_1979,0.01,5808,chan_11_accel.tcl,0.2896
3,ground_motions/ICSB_1979,0.01,5688,chan_12_accel.tcl,0.1777
4,ground_motions/ICSB_1979,0.01,2500,chan_13_accel_short.tcl,0.3314
5,ground_motions/ICSB_1979,0.01,2500,chan_11_accel_short.tcl,0.2896
6,ground_motions/ICSB_1979,0.01,2500,chan_12_accel_short.tcl,0.1777
7,ground_motions/example,0.005,2201,EQ_1001_E.tcl,
8,ground_motions/ICSB_1979,0.01,1500,chan_13_accel_15.tcl,0.3314
9,ground_motions/ICSB_1979,0.01,1500,chan_11_accel_15.tcl,0.2896
10,ground_motions/ICSB_1979,0.01,1500,chan_12_accel_15.tcl,0.1777
11,ground_motions/ICSB_1979,0.01,5000,chan_13_accel_50.tcl,0.3314
12,ground_motions/ICSB_1979,0.01,5000,chan_11_accel_50.tcl,0.2896
13,ground_motions/ICSB_1979,0.01,5000,chan_12_accel_50.tcl,0.1777
14,ground_motions/ICSB_1979,0.01,5688,gm_ew_free_field.tcl,0.2359
15,ground_motions/ICSB_1979,0.01,5688,gm_ns_free_field.tcl,0.2131
16,ground_motions/ICSB_1979,0.01,5688,gm_vert_free_field.tcl,0.2353
17,ground_motions/FEMA_far_field/13_CAPITOLA000,0.005,7991,13_CAPITOLA000.tcl,0.576775
18,ground_motions/FEMA_far_field/13_CAPITOLA090,0.005,7991,13_CAPITOLA090.tcl,0.483768
