id,name,dimension,foundation,primary_node_offset,hazus_class_x,hazus_class_z,vs30,site_class
1,simple_sdof,2D,1,0,NA,NA,0,D
2,simple_frame_2D,2D,1,0,C1,NA,0,D
3,simple_wall_2D,2D,1,0,C2,NA,0,D
4,simple_frame_3D,3D,1,0,C1,C1,0,D
5,simple_wall_3D,3D,1,0,C2,C2,0,D
6,simple_frame_and_wall_3D,3D,1,0,C1,C2,0,D
7,ICBS_model_1ns,2D,1,0,C2,NA,217.3,D
8,ICBS_model_5ew,2D,1,0,C1,NA,217.3,D
9,ICBS_model_3D_short,3D,1,71,C1,C2,217.3,D
10,ICBS_model_3D_pin,3D,0,71,C1,C2,217.3,D
11,ICBS_model_3D_fixed,3D,1,71,C1,C2,217.3,D
12,ICBS_model_3D_pile,3D,2,71,C1,C2,217.3,D
