id,story_group_id,element_group_id,description,direction,x_start,z_start,offset_start,offset_end,trib_wt
1,1,5,story 1 exterior line,x,0,0,0,0,0.5
2,1,1,story 1 interior line,x,0,300,0,0,1
3,1,1,story 1 exterior line,x,0,600,0,0,1
4,1,5,story 1 interior line,x,0,900,0,0,0.5
5,2,6,story 2 exterior line,x,0,0,0,0,0.5
6,2,2,story 2 interior line,x,0,300,0,0,1
7,2,2,story 2 exterior line,x,0,600,0,0,1
8,2,6,story 2 interior line,x,0,900,0,0,0.5
9,3,6,story 3 exterior line,x,0,0,0,0,0.5
10,3,3,story 3 interior line,x,0,300,0,0,1
11,3,3,story 3 exterior line,x,0,600,0,0,1
12,3,6,story 3 interior line,x,0,900,0,0,0.5
13,4,6,story 4-5 exterior line,x,0,0,0,0,0.5
14,4,4,story 4-5 interior line,x,0,300,0,0,1
15,4,4,story 4-5 exterior line,x,0,600,0,0,1
16,4,6,story 4-5 interior line,x,0,900,0,0,0.5
17,5,7,story 6 exterior line,x,0,0,0,0,0.5
18,5,4,story 6 interior line,x,0,300,0,0,1
19,5,4,story 6 exterior line,x,0,600,0,0,1
20,5,7,story 6 interior line,x,0,900,0,0,0.5
