id,description,ele_id,x_start,x_end,z_start,z_end,y_start,y_end,direction,story
1,exterior wall frame extention,13,0,71,0,0,174,174,x,1
2,exterior wall frame extention,12,0,71,300,300,174,174,x,1
3,exterior wall frame extention,12,0,71,600,600,174,174,x,1
4,exterior wall frame extention,13,0,71,900,900,174,174,x,1
5,exterior wall top or bottom,2,0,0,0,300,174,174,z,1
6,exterior wall top or bottom,2,0,0,300,450,174,174,z,1
7,exterior wall top or bottom,2,0,0,450,600,174,174,z,1
8,exterior wall top or bottom,2,0,0,600,900,174,174,z,1
9,exterior wall frame extention,13,1571,1642,0,0,174,174,x,1
10,exterior wall frame extention,12,1571,1642,300,300,174,174,x,1
11,exterior wall frame extention,12,1571,1642,600,600,174,174,x,1
12,exterior wall frame extention,13,1571,1642,900,900,174,174,x,1
13,exterior wall top or bottom,2,1642,1642,0,300,174,174,z,1
14,exterior wall top or bottom,2,1642,1642,300,450,174,174,z,1
15,exterior wall top or bottom,2,1642,1642,450,600,174,174,z,1
16,exterior wall top or bottom,2,1642,1642,600,900,174,174,z,1
17,exterior wall frame extention,14,0,71,0,0,336,336,x,2
18,exterior wall frame extention,16,0,71,300,300,336,336,x,2
19,exterior wall frame extention,16,0,71,600,600,336,336,x,2
20,exterior wall frame extention,14,0,71,900,900,336,336,x,2
21,exterior wall top or bottom,2,0,0,0,300,336,336,z,2
22,exterior wall top or bottom,2,0,0,300,450,336,336,z,2
23,exterior wall top or bottom,2,0,0,450,600,336,336,z,2
24,exterior wall top or bottom,2,0,0,600,900,336,336,z,2
25,exterior wall frame extention,14,1571,1642,0,0,336,336,x,2
26,exterior wall frame extention,16,1571,1642,300,300,336,336,x,2
27,exterior wall frame extention,16,1571,1642,600,600,336,336,x,2
28,exterior wall frame extention,14,1571,1642,900,900,336,336,x,2
29,exterior wall top or bottom,2,1642,1642,0,300,336,336,z,2
30,exterior wall top or bottom,2,1642,1642,300,450,336,336,z,2
31,exterior wall top or bottom,2,1642,1642,450,600,336,336,z,2
32,exterior wall top or bottom,2,1642,1642,600,900,336,336,z,2
33,exterior wall frame extention,14,0,71,0,0,498,498,x,3
34,exterior wall frame extention,16,0,71,300,300,498,498,x,3
35,exterior wall frame extention,16,0,71,600,600,498,498,x,3
36,exterior wall frame extention,14,0,71,900,900,498,498,x,3
37,exterior wall top or bottom,2,0,0,0,300,498,498,z,3
38,exterior wall top or bottom,2,0,0,300,450,498,498,z,3
39,exterior wall top or bottom,2,0,0,450,600,498,498,z,3
40,exterior wall top or bottom,2,0,0,600,900,498,498,z,3
41,exterior wall frame extention,14,1571,1642,0,0,498,498,x,3
42,exterior wall frame extention,16,1571,1642,300,300,498,498,x,3
43,exterior wall frame extention,16,1571,1642,600,600,498,498,x,3
44,exterior wall frame extention,14,1571,1642,900,900,498,498,x,3
45,exterior wall top or bottom,2,1642,1642,0,300,498,498,z,3
46,exterior wall top or bottom,2,1642,1642,300,450,498,498,z,3
47,exterior wall top or bottom,2,1642,1642,450,600,498,498,z,3
48,exterior wall top or bottom,2,1642,1642,600,900,498,498,z,3
49,exterior wall frame extention,14,0,71,0,0,660,660,x,4
50,exterior wall frame extention,16,0,71,300,300,660,660,x,4
51,exterior wall frame extention,16,0,71,600,600,660,660,x,4
52,exterior wall frame extention,14,0,71,900,900,660,660,x,4
53,exterior wall top or bottom,2,0,0,0,300,660,660,z,4
54,exterior wall top or bottom,2,0,0,300,450,660,660,z,4
55,exterior wall top or bottom,2,0,0,450,600,660,660,z,4
56,exterior wall top or bottom,2,0,0,600,900,660,660,z,4
57,exterior wall frame extention,14,1571,1642,0,0,660,660,x,4
58,exterior wall frame extention,16,1571,1642,300,300,660,660,x,4
59,exterior wall frame extention,16,1571,1642,600,600,660,660,x,4
60,exterior wall frame extention,14,1571,1642,900,900,660,660,x,4
61,exterior wall top or bottom,2,1642,1642,0,300,660,660,z,4
62,exterior wall top or bottom,2,1642,1642,300,450,660,660,z,4
63,exterior wall top or bottom,2,1642,1642,450,600,660,660,z,4
64,exterior wall top or bottom,2,1642,1642,600,900,660,660,z,4
65,exterior wall frame extention,14,0,71,0,0,822,822,x,5
66,exterior wall frame extention,16,0,71,300,300,822,822,x,5
67,exterior wall frame extention,16,0,71,600,600,822,822,x,5
68,exterior wall frame extention,14,0,71,900,900,822,822,x,5
69,exterior wall top or bottom,2,0,0,0,300,822,822,z,5
70,exterior wall top or bottom,2,0,0,300,450,822,822,z,5
71,exterior wall top or bottom,2,0,0,450,600,822,822,z,5
72,exterior wall top or bottom,2,0,0,600,900,822,822,z,5
73,exterior wall frame extention,14,1571,1642,0,0,822,822,x,5
74,exterior wall frame extention,16,1571,1642,300,300,822,822,x,5
75,exterior wall frame extention,16,1571,1642,600,600,822,822,x,5
76,exterior wall frame extention,14,1571,1642,900,900,822,822,x,5
77,exterior wall top or bottom,2,1642,1642,0,300,822,822,z,5
78,exterior wall top or bottom,2,1642,1642,300,450,822,822,z,5
79,exterior wall top or bottom,2,1642,1642,450,600,822,822,z,5
80,exterior wall top or bottom,2,1642,1642,600,900,822,822,z,5
81,exterior wall frame extention,15,0,71,0,0,980,980,x,6
82,exterior wall frame extention,16,0,71,300,300,980,980,x,6
83,exterior wall frame extention,16,0,71,600,600,980,980,x,6
84,exterior wall frame extention,15,0,71,900,900,980,980,x,6
85,exterior wall top or bottom,2,0,0,0,300,980,980,z,6
86,exterior wall top or bottom,2,0,0,300,450,980,980,z,6
87,exterior wall top or bottom,2,0,0,450,600,980,980,z,6
88,exterior wall top or bottom,2,0,0,600,900,980,980,z,6
89,exterior wall frame extention,15,1571,1642,0,0,980,980,x,6
90,exterior wall frame extention,16,1571,1642,300,300,980,980,x,6
91,exterior wall frame extention,16,1571,1642,600,600,980,980,x,6
92,exterior wall frame extention,15,1571,1642,900,900,980,980,x,6
93,exterior wall top or bottom,2,1642,1642,0,300,980,980,z,6
