id,description,weight_lbs,x_start,z_start,y_start,x_end,z_end,y_end,story
1,sunscreen,11625,71,0,174,71,0,336,2
2,sunscreen,23250,371,0,174,371,0,336,2
3,sunscreen,23250,671,0,174,671,0,336,2
4,sunscreen,23250,971,0,174,971,0,336,2
5,sunscreen,23250,1271,0,174,1271,0,336,2
6,sunscreen,11625,1571,0,174,1571,0,336,2
7,sunscreen,11625,71,900,174,71,900,336,2
8,sunscreen,23250,371,900,174,371,900,336,2
9,sunscreen,23250,671,900,174,671,900,336,2
10,sunscreen,23250,971,900,174,971,900,336,2
11,sunscreen,23250,1271,900,174,1271,900,336,2
12,sunscreen,11625,1571,900,174,1571,900,336,2
13,cantilever wall,116250,0,450,174,0,450,336,2
14,cantilever wall,116250,1642,450,174,1642,450,336,2
15,sunscreen,11625,71,0,174,71,0,336,3
16,sunscreen,23250,371,0,174,371,0,336,3
17,sunscreen,23250,671,0,174,671,0,336,3
18,sunscreen,23250,971,0,174,971,0,336,3
19,sunscreen,23250,1271,0,174,1271,0,336,3
20,sunscreen,11625,1571,0,174,1571,0,336,3
21,sunscreen,11625,71,900,174,71,900,336,3
22,sunscreen,23250,371,900,174,371,900,336,3
23,sunscreen,23250,671,900,174,671,900,336,3
24,sunscreen,23250,971,900,174,971,900,336,3
25,sunscreen,23250,1271,900,174,1271,900,336,3
26,sunscreen,11625,1571,900,174,1571,900,336,3
27,cantilever wall,116250,0,450,174,0,450,336,3
28,cantilever wall,116250,1642,450,174,1642,450,336,3
29,sunscreen,11625,71,0,174,71,0,336,4
30,sunscreen,23250,371,0,174,371,0,336,4
31,sunscreen,23250,671,0,174,671,0,336,4
32,sunscreen,23250,971,0,174,971,0,336,4
33,sunscreen,23250,1271,0,174,1271,0,336,4
34,sunscreen,11625,1571,0,174,1571,0,336,4
35,sunscreen,11625,71,900,174,71,900,336,4
36,sunscreen,23250,371,900,174,371,900,336,4
37,sunscreen,23250,671,900,174,671,900,336,4
38,sunscreen,23250,971,900,174,971,900,336,4
39,sunscreen,23250,1271,900,174,1271,900,336,4
40,sunscreen,11625,1571,900,174,1571,900,336,4
41,cantilever wall,116250,0,450,174,0,450,336,4
42,cantilever wall,116250,1642,450,174,1642,450,336,4
43,sunscreen,11625,71,0,174,71,0,336,5
44,sunscreen,23250,371,0,174,371,0,336,5
45,sunscreen,23250,671,0,174,671,0,336,5
46,sunscreen,23250,971,0,174,971,0,336,5
47,sunscreen,23250,1271,0,174,1271,0,336,5
48,sunscreen,11625,1571,0,174,1571,0,336,5
49,sunscreen,11625,71,900,174,71,900,336,5
50,sunscreen,23250,371,900,174,371,900,336,5
51,sunscreen,23250,671,900,174,671,900,336,5
52,sunscreen,23250,971,900,174,971,900,336,5
53,sunscreen,23250,1271,900,174,1271,900,336,5
54,sunscreen,11625,1571,900,174,1571,900,336,5
55,cantilever wall,116250,0,450,174,0,450,336,5
56,cantilever wall,116250,1642,450,174,1642,450,336,5
57,sunscreen,9500,71,0,174,71,0,336,6
58,sunscreen,19000,371,0,174,371,0,336,6
59,sunscreen,19000,671,0,174,671,0,336,6
60,sunscreen,19000,971,0,174,971,0,336,6
61,sunscreen,19000,1271,0,174,1271,0,336,6
62,sunscreen,9500,1571,0,174,1571,0,336,6
63,sunscreen,9500,71,900,174,71,900,336,6
64,sunscreen,19000,371,900,174,371,900,336,6
65,sunscreen,19000,671,900,174,671,900,336,6
66,sunscreen,19000,971,900,174,971,900,336,6
67,sunscreen,19000,1271,900,174,1271,900,336,6
68,sunscreen,9500,1571,900,174,1571,900,336,6
69,cantilever wall,95000,0,450,174,0,450,336,6
70,cantilever wall,95000,1642,450,174,1642,450,336,6
