id,story_group_id,element_group_id,description,direction,x_start,z_start,offset_start,offset_end,trib_wt
1,1,5,story 1 exterior line,x,71,0,0,0,0.5
2,1,1,story 1 interior line,x,71,300,0,0,1
3,1,1,story 1 exterior line,x,71,600,0,0,1
4,1,5,story 1 interior line,x,71,900,0,0,0.5
5,1,8,first story walls B,z,71,450,0,0,0.15
6,1,8,first story walls D,z,671,450,0,0,0.15
7,1,9,first story walls E,z,971,450,0,0,0.15
8,1,8,first story walls F,z,1271,450,0,0,0.15
9,2,6,story 2 exterior line,x,71,0,0,0,0.5
10,2,2,story 2 interior line,x,71,300,0,0,1
11,2,2,story 2 exterior line,x,71,600,0,0,1
12,2,6,story 2 interior line,x,71,900,0,0,0.5
13,2,10,second story walls west,z,0,450,0,0,0.355
14,2,10,second story walls east,z,1642,450,0,0,0.355
15,3,6,story 3 exterior line,x,71,0,0,0,0.5
16,3,3,story 3 interior line,x,71,300,0,0,1
17,3,3,story 3 exterior line,x,71,600,0,0,1
18,3,6,story 3 interior line,x,71,900,0,0,0.5
19,3,11,second story walls west,z,0,450,0,0,0.355
20,3,11,second story walls east,z,1642,450,0,0,0.355
21,4,6,story 4-5 exterior line,x,71,0,0,0,0.5
22,4,4,story 4-5 interior line,x,71,300,0,0,1
23,4,4,story 4-5 exterior line,x,71,600,0,0,1
24,4,6,story 4-5 interior line,x,71,900,0,0,0.5
25,4,11,second story walls west,z,0,450,0,0,0.355
26,4,11,second story walls east,z,1642,450,0,0,0.355
27,5,7,story 6 exterior line,x,71,0,0,0,0.5
28,5,4,story 6 interior line,x,71,300,0,0,1
29,5,4,story 6 exterior line,x,71,600,0,0,1
30,5,7,story 6 interior line,x,71,900,0,0,0.5
31,5,11,second story walls west,z,0,450,0,0,0.355
32,5,11,second story walls east,z,1642,450,0,0,0.355
