id,description,ele_id,x_start,x_end,z_start,z_end,y_start,y_end,direction
1,exterior wall frame extention,13,0,71,0,0,174,174,x
2,exterior wall frame extention,12,0,71,300,300,174,174,x
3,exterior wall frame extention,12,0,71,600,600,174,174,x
4,exterior wall frame extention,13,0,71,900,900,174,174,x
5,exterior wall top or bottom,2,0,0,0,300,174,174,z
6,exterior wall top or bottom,2,0,0,300,450,174,174,z
7,exterior wall top or bottom,2,0,0,450,600,174,174,z
8,exterior wall top or bottom,2,0,0,600,900,174,174,z
9,exterior wall frame extention,13,1571,1642,0,0,174,174,x
10,exterior wall frame extention,12,1571,1642,300,300,174,174,x
11,exterior wall frame extention,12,1571,1642,600,600,174,174,x
12,exterior wall frame extention,13,1571,1642,900,900,174,174,x
13,exterior wall top or bottom,2,1642,1642,0,300,174,174,z
14,exterior wall top or bottom,2,1642,1642,300,450,174,174,z
15,exterior wall top or bottom,2,1642,1642,450,600,174,174,z
16,exterior wall top or bottom,2,1642,1642,600,900,174,174,z
17,exterior wall frame extention,14,0,71,0,0,336,336,x
18,exterior wall frame extention,16,0,71,300,300,336,336,x
19,exterior wall frame extention,16,0,71,600,600,336,336,x
20,exterior wall frame extention,14,0,71,900,900,336,336,x
21,exterior wall top or bottom,2,0,0,0,300,336,336,z
22,exterior wall top or bottom,2,0,0,300,450,336,336,z
23,exterior wall top or bottom,2,0,0,450,600,336,336,z
24,exterior wall top or bottom,2,0,0,600,900,336,336,z
25,exterior wall frame extention,14,1571,1642,0,0,336,336,x
26,exterior wall frame extention,16,1571,1642,300,300,336,336,x
27,exterior wall frame extention,16,1571,1642,600,600,336,336,x
28,exterior wall frame extention,14,1571,1642,900,900,336,336,x
29,exterior wall top or bottom,2,1642,1642,0,300,336,336,z
30,exterior wall top or bottom,2,1642,1642,300,450,336,336,z
31,exterior wall top or bottom,2,1642,1642,450,600,336,336,z
32,exterior wall top or bottom,2,1642,1642,600,900,336,336,z
33,grade beam,22,71,371,0,0,0,0,x
34,grade beam,22,371,671,0,0,0,0,x
35,grade beam,22,671,971,0,0,0,0,x
36,grade beam,22,971,1271,0,0,0,0,x
37,grade beam,22,1271,1571,0,0,0,0,x
38,grade beam,22,71,371,300,300,0,0,x
39,grade beam,22,371,671,300,300,0,0,x
40,grade beam,22,671,971,300,300,0,0,x
41,grade beam,22,971,1271,300,300,0,0,x
42,grade beam,22,1271,1571,300,300,0,0,x
43,grade beam,22,71,371,600,600,0,0,x
44,grade beam,22,371,671,600,600,0,0,x
45,grade beam,22,671,971,600,600,0,0,x
46,grade beam,22,971,1271,600,600,0,0,x
47,grade beam,22,1271,1571,600,600,0,0,x
48,grade beam,22,71,371,900,900,0,0,x
49,grade beam,22,371,671,900,900,0,0,x
50,grade beam,22,671,971,900,900,0,0,x
51,grade beam,22,971,1271,900,900,0,0,x
52,grade beam,22,1271,1571,900,900,0,0,x
53,grade beam,22,71,71,0,300,0,0,z
54,grade beam,2,71,71,300,450,0,0,z
55,grade beam,2,71,71,450,600,0,0,z
56,grade beam,22,71,71,600,900,0,0,z
57,grade beam,22,371,371,0,300,0,0,z
58,grade beam,22,371,371,300,600,0,0,z
59,grade beam,22,371,371,600,900,0,0,z
60,grade beam,22,671,671,0,300,0,0,z
61,grade beam,2,671,671,300,450,0,0,z
62,grade beam,2,671,671,450,600,0,0,z
63,grade beam,22,671,671,600,900,0,0,z
64,grade beam,22,971,971,0,300,0,0,z
65,grade beam,2,971,971,300,450,0,0,z
66,grade beam,2,971,971,450,600,0,0,z
67,grade beam,22,971,971,600,900,0,0,z
68,grade beam,22,1271,1271,0,300,0,0,z
69,grade beam,2,1271,1271,300,450,0,0,z
70,grade beam,2,1271,1271,450,600,0,0,z
71,grade beam,22,1271,1271,600,900,0,0,z
72,grade beam,22,1571,1571,0,300,0,0,z
73,grade beam,22,1571,1571,300,600,0,0,z
74,grade beam,22,1571,1571,600,900,0,0,z
