id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6000,71,0,0,0,0,0,1,1,0,0,0,[111111]
6001,71,174,0,35256.4102564103,2051.28205128205,91.3378504052079,1,1,1,1,0,[000000]
6002,371,174,0,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6003,371,0,0,0,0,0,1,1,0,0,0,[111111]
6004,671,174,0,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6005,671,0,0,0,0,0,1,1,0,0,0,[111111]
6006,971,174,0,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6007,971,0,0,0,0,0,1,1,0,0,0,[111111]
6008,1271,174,0,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6009,1271,0,0,0,0,0,1,1,0,0,0,[111111]
6010,1571,174,0,35256.4102564103,2051.28205128205,91.3378504052079,1,1,1,0,0,[000000]
6011,1571,0,0,0,0,0,1,1,0,0,0,[111111]
6012,71,0,300,0,0,0,1,1,0,0,0,[111111]
6013,71,174,300,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6014,371,174,300,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6015,371,0,300,0,0,0,1,1,0,0,0,[111111]
6016,671,174,300,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6017,671,0,300,0,0,0,1,1,0,0,0,[111111]
6018,971,174,300,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6019,971,0,300,0,0,0,1,1,0,0,0,[111111]
6020,1271,174,300,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6021,1271,0,300,0,0,0,1,1,0,0,0,[111111]
6022,1571,174,300,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6023,1571,0,300,0,0,0,1,1,0,0,0,[111111]
6024,71,0,600,0,0,0,1,1,0,0,0,[111111]
6025,71,174,600,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6026,371,174,600,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6027,371,0,600,0,0,0,1,1,0,0,0,[111111]
6028,671,174,600,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6029,671,0,600,0,0,0,1,1,0,0,0,[111111]
6030,971,174,600,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6031,971,0,600,0,0,0,1,1,0,0,0,[111111]
6032,1271,174,600,141025.641025641,8205.12820512821,365.351401620832,1,1,1,0,0,[000000]
6033,1271,0,600,0,0,0,1,1,0,0,0,[111111]
6034,1571,174,600,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6035,1571,0,600,0,0,0,1,1,0,0,0,[111111]
6036,71,0,900,0,0,0,1,1,0,0,0,[111111]
6037,71,174,900,35256.4102564103,2051.28205128205,91.3378504052079,1,1,1,0,0,[000000]
6038,371,174,900,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6039,371,0,900,0,0,0,1,1,0,0,0,[111111]
6040,671,174,900,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6041,671,0,900,0,0,0,1,1,0,0,0,[111111]
6042,971,174,900,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6043,971,0,900,0,0,0,1,1,0,0,0,[111111]
6044,1271,174,900,70512.8205128205,4102.5641025641,182.675700810416,1,1,1,0,0,[000000]
6045,1271,0,900,0,0,0,1,1,0,0,0,[111111]
